CUDA_VISIBLE_DEVICES=0 OMP_NUM_THREADS=4 python train_images.py --gammaD 10 --gammaG 10                 --manualSeed 3407 --encoded_noise --preprocessing --cuda --image_embedding SqueezeNet_512_T --class_embedding Video_1024_gzsl                 --nepoch 300 --ngh 4096 --ndh 4096 --lr 0.0001 --classifier_lr 0.001 --lambda1 10 --critic_iter 5 --dataroot datasets --dataset RADAR                 --nclass_all 27 --batch_size 128 --nz 1024 --latent_size 1024 --attSize 1024 --resSize 512 --syn_num 320                 --gzsl --recons_weight 0.05 --a1 1 --a2 1 --feed_lr 0.00001 --dec_lr 0.0001 --feedback_loop 2
Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=512, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -11.1485 Loss_G: 4.3464, Wasserstein_dist:11.4929, vae_loss_seen:379.1855 GZSL: seen=0.6960, unseen=0.2083, h=0.3207 ZSL: unseen accuracy=0.4479
[1/300]  Loss_D: -19.3489 Loss_G: 0.1789, Wasserstein_dist:19.6780, vae_loss_seen:332.6406 GZSL: seen=0.4862, unseen=0.2240, h=0.3067 ZSL: unseen accuracy=0.3542
[2/300]  Loss_D: -16.5777 Loss_G: -2.0668, Wasserstein_dist:18.5485, vae_loss_seen:305.8935 GZSL: seen=0.9581, unseen=0.2240, h=0.3631 ZSL: unseen accuracy=0.3958
[3/300]  Loss_D: -32.1241 Loss_G: 0.1820, Wasserstein_dist:34.4603, vae_loss_seen:325.3874 GZSL: seen=0.8597, unseen=0.2500, h=0.3874 ZSL: unseen accuracy=0.3698
[4/300]  Loss_D: -47.0712 Loss_G: -0.5855, Wasserstein_dist:52.7958, vae_loss_seen:319.3469 GZSL: seen=0.9263, unseen=0.3177, h=0.4731 ZSL: unseen accuracy=0.4115
[5/300]  Loss_D: -21.3895 Loss_G: -2.9435, Wasserstein_dist:33.4559, vae_loss_seen:287.7968 GZSL: seen=1.0000, unseen=0.2083, h=0.3448 ZSL: unseen accuracy=0.4062
[6/300]  Loss_D: -18.5627 Loss_G: -3.1912, Wasserstein_dist:21.7979, vae_loss_seen:294.1414 GZSL: seen=0.8722, unseen=0.2656, h=0.4072 ZSL: unseen accuracy=0.5833
[7/300]  Loss_D: -9.8606 Loss_G: -3.7617, Wasserstein_dist:12.7566, vae_loss_seen:280.4291 GZSL: seen=0.9217, unseen=0.2344, h=0.3737 ZSL: unseen accuracy=0.3490
[8/300]  Loss_D: -30.2213 Loss_G: 0.5442, Wasserstein_dist:36.9927, vae_loss_seen:320.7168 GZSL: seen=0.9521, unseen=0.2448, h=0.3895 ZSL: unseen accuracy=0.5312
[9/300]  Loss_D: -14.8905 Loss_G: -2.5933, Wasserstein_dist:20.3282, vae_loss_seen:287.3644 GZSL: seen=0.8051, unseen=0.3021, h=0.4393 ZSL: unseen accuracy=0.4740
[10/300]  Loss_D: -14.7968 Loss_G: -4.5226, Wasserstein_dist:16.5352, vae_loss_seen:270.8098 GZSL: seen=0.9614, unseen=0.3177, h=0.4776 ZSL: unseen accuracy=0.4167
[11/300]  Loss_D: -16.5384 Loss_G: -4.7814, Wasserstein_dist:20.8167, vae_loss_seen:263.4611 GZSL: seen=0.9128, unseen=0.3021, h=0.4539 ZSL: unseen accuracy=0.3958
[12/300]  Loss_D: -12.0055 Loss_G: -4.1908, Wasserstein_dist:17.4559, vae_loss_seen:268.3951 GZSL: seen=0.9515, unseen=0.2865, h=0.4403 ZSL: unseen accuracy=0.4688
[13/300]  Loss_D: -13.2354 Loss_G: -3.3493, Wasserstein_dist:15.3154, vae_loss_seen:279.3969 GZSL: seen=0.9501, unseen=0.3750, h=0.5378 ZSL: unseen accuracy=0.5365
[14/300]  Loss_D: -14.9803 Loss_G: -3.7863, Wasserstein_dist:17.4433, vae_loss_seen:272.2111 GZSL: seen=0.8004, unseen=0.2708, h=0.4047 ZSL: unseen accuracy=0.4323
[15/300]  Loss_D: -13.7120 Loss_G: -3.1887, Wasserstein_dist:18.7863, vae_loss_seen:272.8152 GZSL: seen=0.9627, unseen=0.3281, h=0.4894 ZSL: unseen accuracy=0.4271
[16/300]  Loss_D: -14.5454 Loss_G: -3.8419, Wasserstein_dist:17.4172, vae_loss_seen:266.3121 GZSL: seen=0.9455, unseen=0.2760, h=0.4273 ZSL: unseen accuracy=0.4271
[17/300]  Loss_D: -11.7174 Loss_G: -3.8912, Wasserstein_dist:15.1978, vae_loss_seen:267.9211 GZSL: seen=0.8873, unseen=0.3542, h=0.5063 ZSL: unseen accuracy=0.4948
[18/300]  Loss_D: -9.8886 Loss_G: -4.2067, Wasserstein_dist:12.3644, vae_loss_seen:267.1540 GZSL: seen=0.9905, unseen=0.2604, h=0.4124 ZSL: unseen accuracy=0.4948
[19/300]  Loss_D: -10.1211 Loss_G: -4.0597, Wasserstein_dist:12.4021, vae_loss_seen:266.9853 GZSL: seen=0.9574, unseen=0.2396, h=0.3833 ZSL: unseen accuracy=0.5677
[20/300]  Loss_D: -12.1574 Loss_G: -3.6903, Wasserstein_dist:14.0372, vae_loss_seen:271.1241 GZSL: seen=0.8630, unseen=0.3125, h=0.4588 ZSL: unseen accuracy=0.4896
[21/300]  Loss_D: -14.3329 Loss_G: -3.8263, Wasserstein_dist:17.2604, vae_loss_seen:271.5417 GZSL: seen=0.8734, unseen=0.2917, h=0.4373 ZSL: unseen accuracy=0.5885
[22/300]  Loss_D: -10.7694 Loss_G: -4.2200, Wasserstein_dist:12.1890, vae_loss_seen:262.7309 GZSL: seen=0.9739, unseen=0.2448, h=0.3912 ZSL: unseen accuracy=0.5156
[23/300]  Loss_D: -18.0144 Loss_G: -2.9654, Wasserstein_dist:22.4034, vae_loss_seen:276.7343 GZSL: seen=0.9799, unseen=0.3385, h=0.5032 ZSL: unseen accuracy=0.6146
[24/300]  Loss_D: -14.1995 Loss_G: -2.4675, Wasserstein_dist:17.0934, vae_loss_seen:276.7315 GZSL: seen=0.9852, unseen=0.3125, h=0.4745 ZSL: unseen accuracy=0.4115
[25/300]  Loss_D: -13.4466 Loss_G: -3.1478, Wasserstein_dist:15.3960, vae_loss_seen:273.5988 GZSL: seen=0.8278, unseen=0.3073, h=0.4482 ZSL: unseen accuracy=0.4688
[26/300]  Loss_D: -12.4674 Loss_G: -2.7321, Wasserstein_dist:14.2491, vae_loss_seen:274.1924 GZSL: seen=0.9468, unseen=0.3177, h=0.4758 ZSL: unseen accuracy=0.5677
[27/300]  Loss_D: -11.2024 Loss_G: -2.9892, Wasserstein_dist:13.0958, vae_loss_seen:271.4893 GZSL: seen=0.9462, unseen=0.3125, h=0.4698 ZSL: unseen accuracy=0.4896
