CUDA_VISIBLE_DEVICES=0 OMP_NUM_THREADS=4 python train_images.py --gammaD 10 --gammaG 10                 --manualSeed 3407 --encoded_noise --preprocessing --cuda --image_embedding SqueezeNet_512_T --class_embedding Video_1024_gzsl                 --nepoch 300 --ngh 4096 --ndh 4096 --lr 0.0001 --classifier_lr 0.001 --lambda1 10 --critic_iter 5 --dataroot datasets --dataset RADAR                 --nclass_all 27 --batch_size 128 --nz 1024 --latent_size 1024 --attSize 1024 --resSize 512 --syn_num 320                 --gzsl --recons_weight 0.05 --a1 0 --a2 0 --feed_lr 0.00001 --dec_lr 0.0001 --feedback_loop 2
Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=512, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -15.9526 Loss_G: 5.6726, Wasserstein_dist:16.8052, vae_loss_seen:395.1118 GZSL: seen=0.8873, unseen=0.1510, h=0.2581 ZSL: unseen accuracy=0.3073
[1/300]  Loss_D: -19.1441 Loss_G: 1.5264, Wasserstein_dist:19.5818, vae_loss_seen:344.7345 GZSL: seen=0.9349, unseen=0.2344, h=0.3748 ZSL: unseen accuracy=0.3750
[2/300]  Loss_D: -12.5771 Loss_G: -1.0258, Wasserstein_dist:13.1693, vae_loss_seen:317.4389 GZSL: seen=0.8172, unseen=0.3073, h=0.4466 ZSL: unseen accuracy=0.3646
[3/300]  Loss_D: -26.6007 Loss_G: -1.1823, Wasserstein_dist:27.3426, vae_loss_seen:310.0382 GZSL: seen=0.7484, unseen=0.2865, h=0.4143 ZSL: unseen accuracy=0.4167
[4/300]  Loss_D: -32.7812 Loss_G: -2.3230, Wasserstein_dist:40.0266, vae_loss_seen:292.2327 GZSL: seen=0.8933, unseen=0.2969, h=0.4456 ZSL: unseen accuracy=0.3958
[5/300]  Loss_D: -14.4342 Loss_G: -3.9898, Wasserstein_dist:25.4060, vae_loss_seen:289.1949 GZSL: seen=0.8999, unseen=0.3229, h=0.4753 ZSL: unseen accuracy=0.4271
[6/300]  Loss_D: -18.1963 Loss_G: -3.7894, Wasserstein_dist:23.1215, vae_loss_seen:279.2372 GZSL: seen=0.7532, unseen=0.3125, h=0.4417 ZSL: unseen accuracy=0.3646
[7/300]  Loss_D: -18.0722 Loss_G: -3.0965, Wasserstein_dist:20.0028, vae_loss_seen:284.9681 GZSL: seen=0.7136, unseen=0.2604, h=0.3816 ZSL: unseen accuracy=0.3594
[8/300]  Loss_D: -15.8156 Loss_G: -2.9602, Wasserstein_dist:22.7638, vae_loss_seen:279.5742 GZSL: seen=0.8635, unseen=0.2604, h=0.4002 ZSL: unseen accuracy=0.4167
[9/300]  Loss_D: -12.1357 Loss_G: -2.3789, Wasserstein_dist:15.6293, vae_loss_seen:292.1399 GZSL: seen=0.8228, unseen=0.3229, h=0.4638 ZSL: unseen accuracy=0.5208
[10/300]  Loss_D: -24.0092 Loss_G: -2.8605, Wasserstein_dist:26.6886, vae_loss_seen:285.3213 GZSL: seen=0.8794, unseen=0.3333, h=0.4834 ZSL: unseen accuracy=0.4792
