CUDA_VISIBLE_DEVICES=0 OMP_NUM_THREADS=4 python train_images.py --gammaD 1 --gammaG 1                 --manualSeed 3407 --encoded_noise --preprocessing --cuda --image_embedding SqueezeNet_1024_T --class_embedding GPT_3072_gzsl                 --nepoch 300 --ngh 4096 --ndh 4096 --lr 0.0005 --classifier_lr 0.005 --lambda1 10 --critic_iter 5 --dataroot datasets --dataset RADAR                 --nclass_all 27 --batch_size 128 --nz 3072 --latent_size 3072 --attSize 3072 --resSize 1024 --syn_num 320                 --gzsl --recons_weight 0.01 --a1 1 --a2 1 --feed_lr 0.00001 --dec_lr 0.0001 --feedback_loop 2
Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=6144, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=6144, out_features=3072, bias=True)
  (linear_log_var): Linear(in_features=6144, out_features=3072, bias=True)
)
Generator(
  (fc1): Linear(in_features=6144, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=3072, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -8.8739 Loss_G: -2.2836, Wasserstein_dist:10.9178, vae_loss_seen:478.2348 GZSL: seen=0.8849, unseen=0.2500, h=0.3899 ZSL: unseen accuracy=0.6042
[1/300]  Loss_D: -5.5014 Loss_G: -9.5166, Wasserstein_dist:6.9503, vae_loss_seen:388.6659 GZSL: seen=0.8571, unseen=0.4167, h=0.5607 ZSL: unseen accuracy=0.5052
[2/300]  Loss_D: -3.0509 Loss_G: -9.9573, Wasserstein_dist:4.1203, vae_loss_seen:349.8658 GZSL: seen=0.7888, unseen=0.3802, h=0.5131 ZSL: unseen accuracy=0.5260
[3/300]  Loss_D: -3.5589 Loss_G: -12.6609, Wasserstein_dist:4.5026, vae_loss_seen:338.1489 GZSL: seen=0.8690, unseen=0.2760, h=0.4190 ZSL: unseen accuracy=0.5104
[4/300]  Loss_D: -2.9806 Loss_G: -10.4048, Wasserstein_dist:3.8196, vae_loss_seen:336.7259 GZSL: seen=0.7480, unseen=0.5104, h=0.6068 ZSL: unseen accuracy=0.5781
[5/300]  Loss_D: -2.4897 Loss_G: -8.4086, Wasserstein_dist:3.1191, vae_loss_seen:325.3208 GZSL: seen=0.7381, unseen=0.3698, h=0.4927 ZSL: unseen accuracy=0.5677
[6/300]  Loss_D: -2.7852 Loss_G: -7.5112, Wasserstein_dist:3.3592, vae_loss_seen:317.2158 GZSL: seen=0.9087, unseen=0.2917, h=0.4416 ZSL: unseen accuracy=0.5833
[7/300]  Loss_D: -3.0121 Loss_G: -4.8384, Wasserstein_dist:3.6853, vae_loss_seen:316.7748 GZSL: seen=0.8968, unseen=0.2708, h=0.4160 ZSL: unseen accuracy=0.6042
[8/300]  Loss_D: -2.8751 Loss_G: -2.5386, Wasserstein_dist:3.6035, vae_loss_seen:328.6456 GZSL: seen=0.8968, unseen=0.2604, h=0.4036 ZSL: unseen accuracy=0.5729
[9/300]  Loss_D: -2.7232 Loss_G: -0.5438, Wasserstein_dist:3.5119, vae_loss_seen:327.4457 GZSL: seen=0.7341, unseen=0.3698, h=0.4918 ZSL: unseen accuracy=0.5885
[10/300]  Loss_D: -2.6710 Loss_G: -0.2921, Wasserstein_dist:3.4200, vae_loss_seen:310.6278 GZSL: seen=0.9067, unseen=0.2969, h=0.4473 ZSL: unseen accuracy=0.6302
[11/300]  Loss_D: -2.6332 Loss_G: 1.2864, Wasserstein_dist:3.3242, vae_loss_seen:313.3146 GZSL: seen=0.7679, unseen=0.3750, h=0.5039 ZSL: unseen accuracy=0.5469
[12/300]  Loss_D: -2.7152 Loss_G: 1.2576, Wasserstein_dist:3.4807, vae_loss_seen:309.2971 GZSL: seen=0.7817, unseen=0.4219, h=0.5480 ZSL: unseen accuracy=0.5990
[13/300]  Loss_D: -2.9424 Loss_G: 1.1762, Wasserstein_dist:3.6972, vae_loss_seen:312.1817 GZSL: seen=0.7440, unseen=0.4062, h=0.5255 ZSL: unseen accuracy=0.6042
[14/300]  Loss_D: -2.8570 Loss_G: 1.4963, Wasserstein_dist:3.7205, vae_loss_seen:306.3098 GZSL: seen=0.7996, unseen=0.3594, h=0.4959 ZSL: unseen accuracy=0.5677
[15/300]  Loss_D: -2.3626 Loss_G: 3.2163, Wasserstein_dist:3.2605, vae_loss_seen:306.5199 GZSL: seen=0.7178, unseen=0.2865, h=0.4095 ZSL: unseen accuracy=0.5000
[16/300]  Loss_D: -2.8378 Loss_G: 2.1421, Wasserstein_dist:3.6650, vae_loss_seen:299.9341 GZSL: seen=0.8671, unseen=0.1510, h=0.2573 ZSL: unseen accuracy=0.5469
[17/300]  Loss_D: -2.5696 Loss_G: 2.9019, Wasserstein_dist:3.2718, vae_loss_seen:297.2939 GZSL: seen=0.7960, unseen=0.3958, h=0.5287 ZSL: unseen accuracy=0.5000
[18/300]  Loss_D: -2.4570 Loss_G: 2.6354, Wasserstein_dist:3.2142, vae_loss_seen:305.5958 GZSL: seen=0.7500, unseen=0.2344, h=0.3571 ZSL: unseen accuracy=0.4792
[19/300]  Loss_D: -2.6547 Loss_G: 3.1155, Wasserstein_dist:3.3793, vae_loss_seen:293.2287 GZSL: seen=0.7619, unseen=0.4427, h=0.5600 ZSL: unseen accuracy=0.4896
[20/300]  Loss_D: -2.7120 Loss_G: 2.8903, Wasserstein_dist:3.3897, vae_loss_seen:292.3505 GZSL: seen=0.7758, unseen=0.3594, h=0.4912 ZSL: unseen accuracy=0.5625
[21/300]  Loss_D: -2.6194 Loss_G: 2.8320, Wasserstein_dist:3.3004, vae_loss_seen:300.8867 GZSL: seen=0.7385, unseen=0.3802, h=0.5020 ZSL: unseen accuracy=0.4740
[22/300]  Loss_D: -2.7913 Loss_G: 3.5819, Wasserstein_dist:3.4432, vae_loss_seen:295.8131 GZSL: seen=0.7401, unseen=0.4115, h=0.5289 ZSL: unseen accuracy=0.4583
[23/300]  Loss_D: -2.3168 Loss_G: 3.6574, Wasserstein_dist:2.9606, vae_loss_seen:292.4660 GZSL: seen=0.7282, unseen=0.3698, h=0.4905 ZSL: unseen accuracy=0.4635
[24/300]  Loss_D: -2.3467 Loss_G: 4.5764, Wasserstein_dist:2.9888, vae_loss_seen:299.2359 GZSL: seen=0.7583, unseen=0.3802, h=0.5065 ZSL: unseen accuracy=0.4583
[25/300]  Loss_D: -2.2996 Loss_G: 4.6066, Wasserstein_dist:2.8995, vae_loss_seen:288.2062 GZSL: seen=0.7143, unseen=0.3646, h=0.4828 ZSL: unseen accuracy=0.4375
[26/300]  Loss_D: -2.3913 Loss_G: 4.8832, Wasserstein_dist:3.0010, vae_loss_seen:304.0576 GZSL: seen=0.6892, unseen=0.2812, h=0.3995 ZSL: unseen accuracy=0.4427
[27/300]  Loss_D: -2.3718 Loss_G: 3.5170, Wasserstein_dist:2.9245, vae_loss_seen:289.3914 GZSL: seen=0.7996, unseen=0.2031, h=0.3240 ZSL: unseen accuracy=0.5000
[28/300]  Loss_D: -2.1957 Loss_G: 5.0644, Wasserstein_dist:2.8038, vae_loss_seen:286.6044 GZSL: seen=0.8056, unseen=0.3281, h=0.4663 ZSL: unseen accuracy=0.4427
[29/300]  Loss_D: -2.0263 Loss_G: 5.0545, Wasserstein_dist:2.6041, vae_loss_seen:297.5659 GZSL: seen=0.8036, unseen=0.3906, h=0.5257 ZSL: unseen accuracy=0.4219
[30/300]  Loss_D: -2.0841 Loss_G: 5.1024, Wasserstein_dist:2.6263, vae_loss_seen:290.8186 GZSL: seen=0.7222, unseen=0.3490, h=0.4706 ZSL: unseen accuracy=0.5052
