CUDA_VISIBLE_DEVICES=0 OMP_NUM_THREADS=4 python train_images.py --gammaD 10 --gammaG 10                 --manualSeed 3407 --encoded_noise --preprocessing --cuda --image_embedding SqueezeNet_1024_T --class_embedding XCLIP_1024_gzsl                 --nepoch 300 --ngh 4096 --ndh 4096 --lr 0.0005 --classifier_lr 0.005 --lambda1 10 --critic_iter 5 --dataroot datasets --dataset RADAR                 --nclass_all 27 --batch_size 128 --nz 1024 --latent_size 1024 --attSize 1024 --resSize 1024 --syn_num 320                 --gzsl --recons_weight 0.01 --a1 1 --a2 1 --feed_lr 0.00001 --dec_lr 0.0001 --feedback_loop 2
Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -100.6908 Loss_G: 0.6626, Wasserstein_dist:126.0068, vae_loss_seen:483.0352 GZSL: seen=0.9127, unseen=0.2917, h=0.4421 ZSL: unseen accuracy=0.5833
[1/300]  Loss_D: -48.3698 Loss_G: -3.4423, Wasserstein_dist:63.9229, vae_loss_seen:359.6198 GZSL: seen=0.9087, unseen=0.3073, h=0.4593 ZSL: unseen accuracy=0.5208
[2/300]  Loss_D: -25.7336 Loss_G: -7.1305, Wasserstein_dist:34.1464, vae_loss_seen:276.9490 GZSL: seen=0.7888, unseen=0.3542, h=0.4889 ZSL: unseen accuracy=0.5885
[3/300]  Loss_D: -19.8705 Loss_G: -5.4358, Wasserstein_dist:23.7345, vae_loss_seen:272.9068 GZSL: seen=0.8929, unseen=0.3229, h=0.4743 ZSL: unseen accuracy=0.6458
[4/300]  Loss_D: -15.5141 Loss_G: -5.2549, Wasserstein_dist:20.2274, vae_loss_seen:280.1075 GZSL: seen=0.9087, unseen=0.2865, h=0.4356 ZSL: unseen accuracy=0.6771
[5/300]  Loss_D: -18.6615 Loss_G: -5.4832, Wasserstein_dist:21.0568, vae_loss_seen:266.5369 GZSL: seen=0.9167, unseen=0.3177, h=0.4719 ZSL: unseen accuracy=0.6458
[6/300]  Loss_D: -19.3172 Loss_G: -3.4564, Wasserstein_dist:22.2114, vae_loss_seen:292.7910 GZSL: seen=0.8810, unseen=0.4115, h=0.5609 ZSL: unseen accuracy=0.7188
[7/300]  Loss_D: -13.9957 Loss_G: -3.3883, Wasserstein_dist:15.9091, vae_loss_seen:285.3293 GZSL: seen=0.9087, unseen=0.2760, h=0.4235 ZSL: unseen accuracy=0.7552
[8/300]  Loss_D: -18.4461 Loss_G: -1.4591, Wasserstein_dist:21.2933, vae_loss_seen:302.2375 GZSL: seen=0.8107, unseen=0.4271, h=0.5594 ZSL: unseen accuracy=0.8125
[9/300]  Loss_D: -17.7068 Loss_G: 0.2307, Wasserstein_dist:20.7922, vae_loss_seen:316.5327 GZSL: seen=0.8452, unseen=0.3333, h=0.4781 ZSL: unseen accuracy=0.8125
[10/300]  Loss_D: -18.7433 Loss_G: 0.8329, Wasserstein_dist:22.9892, vae_loss_seen:326.9671 GZSL: seen=0.8452, unseen=0.4271, h=0.5674 ZSL: unseen accuracy=0.7760
