CUDA_VISIBLE_DEVICES=0 OMP_NUM_THREADS=4 python train_images.py --gammaD 10 --gammaG 1                 --manualSeed 3407 --encoded_noise --preprocessing --cuda --image_embedding new_SqueezeNet_1024 --class_embedding new_Video_1024_gzsl                 --nepoch 300 --ngh 4096 --ndh 4096 --lr 0.0005 --classifier_lr 0.005 --lambda1 10 --critic_iter 5 --dataroot datasets --dataset RADAR                 --nclass_all 11 --batch_size 32 --nz 1024 --latent_size 1024 --attSize 1024 --resSize 1024 --syn_num 320                 --gzsl --recons_weight 0.01 --a1 1 --a2 1 --feed_lr 0.00001 --dec_lr 0.0001 --feedback_loop 2
Random Seed:  3407
# of training samples:  168
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -34.8590 Loss_G: -4.5154, Wasserstein_dist:40.9793, vae_loss_seen:472.9878 GZSL: seen=0.6458, unseen=0.1771, h=0.2780 ZSL: unseen accuracy=0.3943
[1/300]  Loss_D: -17.3462 Loss_G: -5.2614, Wasserstein_dist:20.3215, vae_loss_seen:443.1730 GZSL: seen=0.3333, unseen=0.1600, h=0.2162 ZSL: unseen accuracy=0.3943
[2/300]  Loss_D: -9.5167 Loss_G: -8.3180, Wasserstein_dist:13.9440, vae_loss_seen:377.4893 GZSL: seen=0.7083, unseen=0.1314, h=0.2217 ZSL: unseen accuracy=0.4914
[3/300]  Loss_D: -11.8231 Loss_G: -5.4919, Wasserstein_dist:14.5791, vae_loss_seen:439.8049 GZSL: seen=0.9792, unseen=0.0629, h=0.1181 ZSL: unseen accuracy=0.3371
[4/300]  Loss_D: -9.1016 Loss_G: -10.1831, Wasserstein_dist:10.1167, vae_loss_seen:406.1344 GZSL: seen=0.9792, unseen=0.0571, h=0.1080 ZSL: unseen accuracy=0.4457
[5/300]  Loss_D: -9.8200 Loss_G: -4.8174, Wasserstein_dist:12.4390, vae_loss_seen:412.1096 GZSL: seen=0.5333, unseen=0.2000, h=0.2909 ZSL: unseen accuracy=0.2457
[6/300]  Loss_D: -1.5218 Loss_G: -9.0442, Wasserstein_dist:3.5763, vae_loss_seen:445.4022 GZSL: seen=0.5208, unseen=0.2000, h=0.2890 ZSL: unseen accuracy=0.5886
[7/300]  Loss_D: -6.6537 Loss_G: -6.5865, Wasserstein_dist:12.9569, vae_loss_seen:398.8469 GZSL: seen=0.6458, unseen=0.2286, h=0.3376 ZSL: unseen accuracy=0.3486
[8/300]  Loss_D: -7.2354 Loss_G: -9.5557, Wasserstein_dist:8.4908, vae_loss_seen:381.1989 GZSL: seen=0.9167, unseen=0.0743, h=0.1374 ZSL: unseen accuracy=0.5029
[9/300]  Loss_D: -8.2356 Loss_G: -7.6457, Wasserstein_dist:9.7601, vae_loss_seen:410.0625 GZSL: seen=1.0000, unseen=0.0514, h=0.0978 ZSL: unseen accuracy=0.4000
[10/300]  Loss_D: -10.0031 Loss_G: -0.7318, Wasserstein_dist:15.7844, vae_loss_seen:460.6668 GZSL: seen=0.9375, unseen=0.0971, h=0.1760 ZSL: unseen accuracy=0.3829
[11/300]  Loss_D: -14.6801 Loss_G: -19.6199, Wasserstein_dist:17.1462, vae_loss_seen:370.7751 GZSL: seen=1.0000, unseen=0.0343, h=0.0663 ZSL: unseen accuracy=0.4286
[12/300]  Loss_D: -21.8332 Loss_G: -9.5781, Wasserstein_dist:23.9960, vae_loss_seen:437.5413 GZSL: seen=1.0000, unseen=0.0514, h=0.0978 ZSL: unseen accuracy=0.4171
[13/300]  Loss_D: -12.8727 Loss_G: -12.8779, Wasserstein_dist:14.1266, vae_loss_seen:396.4543 GZSL: seen=0.9792, unseen=0.0629, h=0.1181 ZSL: unseen accuracy=0.6000
[14/300]  Loss_D: -10.5735 Loss_G: -8.8768, Wasserstein_dist:11.8865, vae_loss_seen:429.4682 GZSL: seen=0.9792, unseen=0.0800, h=0.1479 ZSL: unseen accuracy=0.4286
[15/300]  Loss_D: -12.4902 Loss_G: -8.3341, Wasserstein_dist:16.3477, vae_loss_seen:381.7590 GZSL: seen=0.9792, unseen=0.0400, h=0.0769 ZSL: unseen accuracy=0.4057
[16/300]  Loss_D: -18.8405 Loss_G: -3.4927, Wasserstein_dist:21.7856, vae_loss_seen:411.0134 GZSL: seen=0.9792, unseen=0.0514, h=0.0977 ZSL: unseen accuracy=0.3600
[17/300]  Loss_D: -8.0792 Loss_G: -4.5413, Wasserstein_dist:9.3459, vae_loss_seen:377.4984 GZSL: seen=0.9792, unseen=0.0857, h=0.1576 ZSL: unseen accuracy=0.6114
[18/300]  Loss_D: -10.8631 Loss_G: -8.4893, Wasserstein_dist:13.3723, vae_loss_seen:387.7818 GZSL: seen=0.9792, unseen=0.0171, h=0.0337 ZSL: unseen accuracy=0.2114
[19/300]  Loss_D: -8.4860 Loss_G: -12.6570, Wasserstein_dist:14.7860, vae_loss_seen:423.8762 GZSL: seen=1.0000, unseen=0.0343, h=0.0663 ZSL: unseen accuracy=0.2286
[20/300]  Loss_D: -10.8045 Loss_G: -4.9907, Wasserstein_dist:13.1236, vae_loss_seen:411.2074 GZSL: seen=0.5625, unseen=0.1829, h=0.2760 ZSL: unseen accuracy=0.4571
[21/300]  Loss_D: -9.7595 Loss_G: -7.8515, Wasserstein_dist:12.2449, vae_loss_seen:358.4023 GZSL: seen=0.6875, unseen=0.1657, h=0.2671 ZSL: unseen accuracy=0.4400
[22/300]  Loss_D: -14.8020 Loss_G: -1.9756, Wasserstein_dist:17.9289, vae_loss_seen:433.2512 GZSL: seen=0.9792, unseen=0.0343, h=0.0663 ZSL: unseen accuracy=0.4171
[23/300]  Loss_D: -11.7288 Loss_G: -8.4438, Wasserstein_dist:14.2279, vae_loss_seen:403.6122 GZSL: seen=0.9583, unseen=0.0343, h=0.0662 ZSL: unseen accuracy=0.4914
[24/300]  Loss_D: -8.8727 Loss_G: 2.2707, Wasserstein_dist:11.2156, vae_loss_seen:413.5125 GZSL: seen=0.6458, unseen=0.1314, h=0.2184 ZSL: unseen accuracy=0.4743
[25/300]  Loss_D: -13.7727 Loss_G: -1.6412, Wasserstein_dist:20.3313, vae_loss_seen:407.1242 GZSL: seen=0.6458, unseen=0.1371, h=0.2262 ZSL: unseen accuracy=0.5771
[26/300]  Loss_D: -11.5019 Loss_G: -0.1633, Wasserstein_dist:13.5254, vae_loss_seen:377.2885 GZSL: seen=1.0000, unseen=0.0057, h=0.0114 ZSL: unseen accuracy=0.2000
[27/300]  Loss_D: -16.6463 Loss_G: -1.7911, Wasserstein_dist:18.2828, vae_loss_seen:440.4633 GZSL: seen=0.5333, unseen=0.0229, h=0.0438 ZSL: unseen accuracy=0.4286
[28/300]  Loss_D: -4.7686 Loss_G: -4.3280, Wasserstein_dist:7.5460, vae_loss_seen:399.6035 GZSL: seen=0.5833, unseen=0.0914, h=0.1581 ZSL: unseen accuracy=0.5543
[29/300]  Loss_D: -14.2925 Loss_G: -0.5975, Wasserstein_dist:15.9563, vae_loss_seen:399.3904 GZSL: seen=0.6250, unseen=0.2000, h=0.3030 ZSL: unseen accuracy=0.3943
[30/300]  Loss_D: -8.4072 Loss_G: -1.5831, Wasserstein_dist:12.0009, vae_loss_seen:397.9155 GZSL: seen=0.7000, unseen=0.2000, h=0.3111 ZSL: unseen accuracy=0.4057
[31/300]  Loss_D: -9.2275 Loss_G: -3.2466, Wasserstein_dist:10.3948, vae_loss_seen:348.5171 GZSL: seen=0.6083, unseen=0.0057, h=0.0113 ZSL: unseen accuracy=0.4229
[32/300]  Loss_D: -8.7926 Loss_G: -5.0915, Wasserstein_dist:14.7959, vae_loss_seen:377.2150 GZSL: seen=0.7125, unseen=0.0343, h=0.0654 ZSL: unseen accuracy=0.4286
[33/300]  Loss_D: -6.2986 Loss_G: -2.9354, Wasserstein_dist:7.9451, vae_loss_seen:405.6042 GZSL: seen=1.0000, unseen=0.0229, h=0.0447 ZSL: unseen accuracy=0.3886
[34/300]  Loss_D: -11.7456 Loss_G: -3.4749, Wasserstein_dist:13.9158, vae_loss_seen:402.7470 GZSL: seen=0.9792, unseen=0.0114, h=0.0226 ZSL: unseen accuracy=0.6000
[35/300]  Loss_D: -7.8186 Loss_G: -4.5722, Wasserstein_dist:9.6282, vae_loss_seen:382.0139 GZSL: seen=0.0000, unseen=0.0000, h=0.0000 ZSL: unseen accuracy=0.4000
[36/300]  Loss_D: -12.9118 Loss_G: -3.6229, Wasserstein_dist:15.1117, vae_loss_seen:390.5570 GZSL: seen=0.6708, unseen=0.0914, h=0.1609 ZSL: unseen accuracy=0.4000
[37/300]  Loss_D: -8.0562 Loss_G: -1.8037, Wasserstein_dist:9.5642, vae_loss_seen:363.1660 GZSL: seen=0.6792, unseen=0.2000, h=0.3090 ZSL: unseen accuracy=0.4057
[38/300]  Loss_D: -5.1381 Loss_G: -6.1818, Wasserstein_dist:8.0385, vae_loss_seen:377.3069 GZSL: seen=0.6667, unseen=0.0743, h=0.1337 ZSL: unseen accuracy=0.4286
[39/300]  Loss_D: -8.4355 Loss_G: -5.0155, Wasserstein_dist:10.3310, vae_loss_seen:398.3051 GZSL: seen=0.7917, unseen=0.1200, h=0.2084 ZSL: unseen accuracy=0.4000
[40/300]  Loss_D: -13.8086 Loss_G: -9.0493, Wasserstein_dist:18.0610, vae_loss_seen:383.2457 GZSL: seen=0.0000, unseen=0.0000, h=0.0000 ZSL: unseen accuracy=0.4514
[41/300]  Loss_D: -8.5921 Loss_G: -3.6408, Wasserstein_dist:10.8069, vae_loss_seen:373.2970 GZSL: seen=1.0000, unseen=0.0057, h=0.0114 ZSL: unseen accuracy=0.3771
[42/300]  Loss_D: -7.4061 Loss_G: 0.9354, Wasserstein_dist:8.8113, vae_loss_seen:362.6741 GZSL: seen=0.9792, unseen=0.0057, h=0.0114 ZSL: unseen accuracy=0.3886
