Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -100.0292 Loss_G: -0.0330, Wasserstein_dist:125.3644, vae_loss_seen:470.7631 GZSL: seen=0.9325, unseen=0.2604, h=0.4071 ZSL: unseen accuracy=0.5833
[1/300]  Loss_D: -55.0672 Loss_G: -4.8225, Wasserstein_dist:71.7335, vae_loss_seen:379.6714 GZSL: seen=0.7639, unseen=0.2917, h=0.4221 ZSL: unseen accuracy=0.5000
[2/300]  Loss_D: -36.1385 Loss_G: -7.6157, Wasserstein_dist:46.8680, vae_loss_seen:334.1961 GZSL: seen=0.8611, unseen=0.2969, h=0.4415 ZSL: unseen accuracy=0.4583
[3/300]  Loss_D: -24.6332 Loss_G: -7.8876, Wasserstein_dist:32.3333, vae_loss_seen:315.8037 GZSL: seen=0.8571, unseen=0.2552, h=0.3933 ZSL: unseen accuracy=0.4167
[4/300]  Loss_D: -21.4428 Loss_G: -7.6219, Wasserstein_dist:28.3398, vae_loss_seen:319.1919 GZSL: seen=0.9127, unseen=0.2135, h=0.3461 ZSL: unseen accuracy=0.4792
[5/300]  Loss_D: -24.2861 Loss_G: -6.8657, Wasserstein_dist:29.5724, vae_loss_seen:306.1641 GZSL: seen=0.8007, unseen=0.3646, h=0.5010 ZSL: unseen accuracy=0.5208
[6/300]  Loss_D: -27.0959 Loss_G: -5.3640, Wasserstein_dist:33.2565, vae_loss_seen:314.6838 GZSL: seen=0.8790, unseen=0.2604, h=0.4018 ZSL: unseen accuracy=0.5208
[7/300]  Loss_D: -24.6475 Loss_G: -5.6569, Wasserstein_dist:30.2314, vae_loss_seen:305.3307 GZSL: seen=0.8968, unseen=0.2083, h=0.3381 ZSL: unseen accuracy=0.4844
[8/300]  Loss_D: -26.1306 Loss_G: -2.2811, Wasserstein_dist:32.2249, vae_loss_seen:304.3818 GZSL: seen=0.8671, unseen=0.2760, h=0.4188 ZSL: unseen accuracy=0.5000
[9/300]  Loss_D: -22.9627 Loss_G: 0.4932, Wasserstein_dist:28.3927, vae_loss_seen:304.9717 GZSL: seen=0.8571, unseen=0.3073, h=0.4524 ZSL: unseen accuracy=0.4531
[10/300]  Loss_D: -23.3907 Loss_G: 0.9953, Wasserstein_dist:30.9446, vae_loss_seen:310.7423 GZSL: seen=0.8869, unseen=0.2135, h=0.3442 ZSL: unseen accuracy=0.5365
[11/300]  Loss_D: -27.0230 Loss_G: 3.1204, Wasserstein_dist:33.6223, vae_loss_seen:307.8029 GZSL: seen=0.9067, unseen=0.1979, h=0.3249 ZSL: unseen accuracy=0.3906
[12/300]  Loss_D: -25.2479 Loss_G: 2.7971, Wasserstein_dist:31.4848, vae_loss_seen:307.2427 GZSL: seen=0.8095, unseen=0.3594, h=0.4978 ZSL: unseen accuracy=0.5104
[13/300]  Loss_D: -24.4025 Loss_G: 3.8418, Wasserstein_dist:31.1343, vae_loss_seen:307.1833 GZSL: seen=0.8631, unseen=0.2135, h=0.3424 ZSL: unseen accuracy=0.4062
[14/300]  Loss_D: -24.9069 Loss_G: 3.0277, Wasserstein_dist:31.8511, vae_loss_seen:302.3130 GZSL: seen=0.8413, unseen=0.2135, h=0.3406 ZSL: unseen accuracy=0.4167
[15/300]  Loss_D: -24.9310 Loss_G: 5.6938, Wasserstein_dist:30.9324, vae_loss_seen:306.1534 GZSL: seen=0.8929, unseen=0.2552, h=0.3970 ZSL: unseen accuracy=0.3854
[16/300]  Loss_D: -27.3288 Loss_G: 4.9910, Wasserstein_dist:34.2209, vae_loss_seen:299.0202 GZSL: seen=0.8929, unseen=0.2135, h=0.3447 ZSL: unseen accuracy=0.4167
[17/300]  Loss_D: -24.1245 Loss_G: 6.6038, Wasserstein_dist:30.0634, vae_loss_seen:305.2857 GZSL: seen=0.8849, unseen=0.2083, h=0.3373 ZSL: unseen accuracy=0.3958
[18/300]  Loss_D: -23.0811 Loss_G: 7.3480, Wasserstein_dist:29.7662, vae_loss_seen:300.5187 GZSL: seen=0.8730, unseen=0.2448, h=0.3824 ZSL: unseen accuracy=0.4844
[19/300]  Loss_D: -26.0530 Loss_G: 5.3941, Wasserstein_dist:32.3961, vae_loss_seen:296.8846 GZSL: seen=0.7917, unseen=0.2240, h=0.3491 ZSL: unseen accuracy=0.4219
[20/300]  Loss_D: -24.5796 Loss_G: 6.8393, Wasserstein_dist:29.7178, vae_loss_seen:302.1184 GZSL: seen=0.7908, unseen=0.3542, h=0.4892 ZSL: unseen accuracy=0.4531
[21/300]  Loss_D: -21.2154 Loss_G: 7.2228, Wasserstein_dist:27.2501, vae_loss_seen:299.5139 GZSL: seen=0.9008, unseen=0.2031, h=0.3315 ZSL: unseen accuracy=0.3802
[22/300]  Loss_D: -20.2579 Loss_G: 9.4685, Wasserstein_dist:25.4463, vae_loss_seen:296.9096 GZSL: seen=0.7343, unseen=0.2135, h=0.3309 ZSL: unseen accuracy=0.3906
[23/300]  Loss_D: -20.6462 Loss_G: 6.8886, Wasserstein_dist:25.9787, vae_loss_seen:293.6730 GZSL: seen=0.8790, unseen=0.1979, h=0.3231 ZSL: unseen accuracy=0.3958
[24/300]  Loss_D: -20.0870 Loss_G: 9.1409, Wasserstein_dist:25.0702, vae_loss_seen:292.3654 GZSL: seen=0.9048, unseen=0.1927, h=0.3177 ZSL: unseen accuracy=0.3958
[25/300]  Loss_D: -18.3143 Loss_G: 9.4131, Wasserstein_dist:23.4257, vae_loss_seen:293.5792 GZSL: seen=0.8274, unseen=0.1979, h=0.3194 ZSL: unseen accuracy=0.3906
[26/300]  Loss_D: -17.4970 Loss_G: 11.0704, Wasserstein_dist:23.0256, vae_loss_seen:290.8008 GZSL: seen=0.8056, unseen=0.2083, h=0.3311 ZSL: unseen accuracy=0.3906
[27/300]  Loss_D: -18.3284 Loss_G: 9.0934, Wasserstein_dist:23.2745, vae_loss_seen:289.8299 GZSL: seen=0.8543, unseen=0.1979, h=0.3214 ZSL: unseen accuracy=0.3906
[28/300]  Loss_D: -16.9899 Loss_G: 10.4045, Wasserstein_dist:21.9152, vae_loss_seen:291.3358 GZSL: seen=0.9206, unseen=0.1875, h=0.3115 ZSL: unseen accuracy=0.3906
[29/300]  Loss_D: -20.3032 Loss_G: 9.4747, Wasserstein_dist:24.6567, vae_loss_seen:287.6963 GZSL: seen=0.9127, unseen=0.1875, h=0.3111 ZSL: unseen accuracy=0.3906
[30/300]  Loss_D: -17.5441 Loss_G: 11.3660, Wasserstein_dist:22.8211, vae_loss_seen:285.0176 GZSL: seen=0.8294, unseen=0.2135, h=0.3396 ZSL: unseen accuracy=0.3906
[31/300]  Loss_D: -17.1504 Loss_G: 10.1716, Wasserstein_dist:21.2321, vae_loss_seen:292.7745 GZSL: seen=0.7643, unseen=0.2031, h=0.3210 ZSL: unseen accuracy=0.3906
[32/300]  Loss_D: -14.8137 Loss_G: 10.5142, Wasserstein_dist:19.2198, vae_loss_seen:284.3425 GZSL: seen=0.8139, unseen=0.2135, h=0.3383 ZSL: unseen accuracy=0.3854
[33/300]  Loss_D: -16.9225 Loss_G: 10.7133, Wasserstein_dist:21.2959, vae_loss_seen:288.0342 GZSL: seen=0.8849, unseen=0.2031, h=0.3304 ZSL: unseen accuracy=0.3906
[34/300]  Loss_D: -14.4448 Loss_G: 12.3043, Wasserstein_dist:18.3891, vae_loss_seen:287.1450 GZSL: seen=0.8631, unseen=0.1927, h=0.3151 ZSL: unseen accuracy=0.3906
[35/300]  Loss_D: -15.6839 Loss_G: 12.2597, Wasserstein_dist:19.7239, vae_loss_seen:300.7948 GZSL: seen=0.8869, unseen=0.2031, h=0.3305 ZSL: unseen accuracy=0.3906
[36/300]  Loss_D: -15.1833 Loss_G: 10.6831, Wasserstein_dist:19.2287, vae_loss_seen:284.0002 GZSL: seen=0.9187, unseen=0.1875, h=0.3114 ZSL: unseen accuracy=0.4010
[37/300]  Loss_D: -14.7522 Loss_G: 11.6239, Wasserstein_dist:18.5037, vae_loss_seen:287.3326 GZSL: seen=0.7381, unseen=0.2031, h=0.3186 ZSL: unseen accuracy=0.3854
[38/300]  Loss_D: -15.6773 Loss_G: 10.9537, Wasserstein_dist:19.5577, vae_loss_seen:283.3492 GZSL: seen=0.7976, unseen=0.2031, h=0.3238 ZSL: unseen accuracy=0.3958
[39/300]  Loss_D: -12.2239 Loss_G: 14.6509, Wasserstein_dist:15.3959, vae_loss_seen:281.8583 GZSL: seen=0.7738, unseen=0.1979, h=0.3152 ZSL: unseen accuracy=0.4115
[40/300]  Loss_D: -13.8698 Loss_G: 12.9680, Wasserstein_dist:17.8333, vae_loss_seen:287.8492 GZSL: seen=0.9306, unseen=0.1875, h=0.3121 ZSL: unseen accuracy=0.3906
[41/300]  Loss_D: -12.8163 Loss_G: 15.0825, Wasserstein_dist:16.0309, vae_loss_seen:282.0502 GZSL: seen=0.8694, unseen=0.1979, h=0.3224 ZSL: unseen accuracy=0.4062
[42/300]  Loss_D: -12.6153 Loss_G: 12.9508, Wasserstein_dist:16.6165, vae_loss_seen:277.7917 GZSL: seen=0.8512, unseen=0.2083, h=0.3347 ZSL: unseen accuracy=0.3906
[43/300]  Loss_D: -14.5882 Loss_G: 13.5462, Wasserstein_dist:18.0680, vae_loss_seen:285.6568 GZSL: seen=0.8464, unseen=0.2083, h=0.3344 ZSL: unseen accuracy=0.3906
[44/300]  Loss_D: -12.9651 Loss_G: 13.3490, Wasserstein_dist:16.7892, vae_loss_seen:289.6445 GZSL: seen=0.8126, unseen=0.1979, h=0.3183 ZSL: unseen accuracy=0.3958
[45/300]  Loss_D: -14.3653 Loss_G: 12.3804, Wasserstein_dist:18.3268, vae_loss_seen:282.7388 GZSL: seen=0.8452, unseen=0.2135, h=0.3409 ZSL: unseen accuracy=0.4010
[46/300]  Loss_D: -11.9971 Loss_G: 14.4247, Wasserstein_dist:15.0438, vae_loss_seen:276.4396 GZSL: seen=0.9048, unseen=0.2031, h=0.3318 ZSL: unseen accuracy=0.3958
[47/300]  Loss_D: -12.9226 Loss_G: 13.2643, Wasserstein_dist:16.9182, vae_loss_seen:278.6708 GZSL: seen=0.8135, unseen=0.2031, h=0.3251 ZSL: unseen accuracy=0.4115
[48/300]  Loss_D: -14.2110 Loss_G: 14.5599, Wasserstein_dist:17.2202, vae_loss_seen:284.1689 GZSL: seen=0.9167, unseen=0.2031, h=0.3326 ZSL: unseen accuracy=0.3958
[49/300]  Loss_D: -12.9316 Loss_G: 14.6185, Wasserstein_dist:16.7678, vae_loss_seen:278.9776 GZSL: seen=0.8750, unseen=0.2188, h=0.3500 ZSL: unseen accuracy=0.4010
[50/300]  Loss_D: -13.2189 Loss_G: 15.0644, Wasserstein_dist:16.7922, vae_loss_seen:274.6924 GZSL: seen=0.8869, unseen=0.2031, h=0.3305 ZSL: unseen accuracy=0.3958
[51/300]  Loss_D: -11.9834 Loss_G: 15.8409, Wasserstein_dist:15.6091, vae_loss_seen:286.7023 GZSL: seen=0.8611, unseen=0.2083, h=0.3355 ZSL: unseen accuracy=0.3958
[52/300]  Loss_D: -12.0800 Loss_G: 15.6737, Wasserstein_dist:15.4285, vae_loss_seen:276.1532 GZSL: seen=0.9028, unseen=0.2135, h=0.3454 ZSL: unseen accuracy=0.3958
[53/300]  Loss_D: -9.8673 Loss_G: 16.2732, Wasserstein_dist:12.9872, vae_loss_seen:276.4352 GZSL: seen=0.8075, unseen=0.2240, h=0.3507 ZSL: unseen accuracy=0.4115
[54/300]  Loss_D: -11.7908 Loss_G: 14.8928, Wasserstein_dist:15.4711, vae_loss_seen:287.9036 GZSL: seen=0.8492, unseen=0.2135, h=0.3413 ZSL: unseen accuracy=0.4010
[55/300]  Loss_D: -11.6156 Loss_G: 15.4274, Wasserstein_dist:14.7121, vae_loss_seen:278.2718 GZSL: seen=0.8940, unseen=0.2135, h=0.3447 ZSL: unseen accuracy=0.4062
[56/300]  Loss_D: -11.8753 Loss_G: 15.9014, Wasserstein_dist:15.5990, vae_loss_seen:277.4114 GZSL: seen=0.8810, unseen=0.2188, h=0.3505 ZSL: unseen accuracy=0.4167
[57/300]  Loss_D: -11.0065 Loss_G: 15.4776, Wasserstein_dist:13.8191, vae_loss_seen:284.0259 GZSL: seen=0.8115, unseen=0.2188, h=0.3446 ZSL: unseen accuracy=0.4010
[58/300]  Loss_D: -9.9838 Loss_G: 17.1353, Wasserstein_dist:13.7709, vae_loss_seen:281.5088 GZSL: seen=0.8115, unseen=0.2135, h=0.3381 ZSL: unseen accuracy=0.4167
[59/300]  Loss_D: -12.1722 Loss_G: 15.4387, Wasserstein_dist:15.2242, vae_loss_seen:280.6513 GZSL: seen=0.8036, unseen=0.2188, h=0.3439 ZSL: unseen accuracy=0.4167
[60/300]  Loss_D: -11.4694 Loss_G: 16.3167, Wasserstein_dist:14.7715, vae_loss_seen:275.7580 GZSL: seen=0.8810, unseen=0.2344, h=0.3702 ZSL: unseen accuracy=0.4167
[61/300]  Loss_D: -10.6837 Loss_G: 16.7192, Wasserstein_dist:13.8557, vae_loss_seen:275.6945 GZSL: seen=0.8126, unseen=0.2240, h=0.3511 ZSL: unseen accuracy=0.4219
[62/300]  Loss_D: -13.9736 Loss_G: 15.9290, Wasserstein_dist:17.8693, vae_loss_seen:280.2370 GZSL: seen=0.8115, unseen=0.2292, h=0.3574 ZSL: unseen accuracy=0.4115
[63/300]  Loss_D: -10.3895 Loss_G: 16.3591, Wasserstein_dist:13.9131, vae_loss_seen:287.6809 GZSL: seen=0.9048, unseen=0.2188, h=0.3523 ZSL: unseen accuracy=0.4010
[64/300]  Loss_D: -10.8958 Loss_G: 16.3332, Wasserstein_dist:14.3561, vae_loss_seen:273.0635 GZSL: seen=0.9325, unseen=0.1927, h=0.3194 ZSL: unseen accuracy=0.4062
[65/300]  Loss_D: -11.6831 Loss_G: 16.4813, Wasserstein_dist:15.5988, vae_loss_seen:288.9966 GZSL: seen=0.8393, unseen=0.2292, h=0.3600 ZSL: unseen accuracy=0.4167
[66/300]  Loss_D: -12.7149 Loss_G: 17.0972, Wasserstein_dist:15.8062, vae_loss_seen:277.5158 GZSL: seen=0.9246, unseen=0.1927, h=0.3189 ZSL: unseen accuracy=0.4167
[67/300]  Loss_D: -11.1231 Loss_G: 17.3761, Wasserstein_dist:14.3478, vae_loss_seen:279.7466 GZSL: seen=0.9107, unseen=0.2188, h=0.3528 ZSL: unseen accuracy=0.4271
[68/300]  Loss_D: -11.4270 Loss_G: 16.4198, Wasserstein_dist:14.5070, vae_loss_seen:280.9012 GZSL: seen=0.9226, unseen=0.2135, h=0.3468 ZSL: unseen accuracy=0.4271
[69/300]  Loss_D: -10.4662 Loss_G: 16.9484, Wasserstein_dist:13.7864, vae_loss_seen:282.9850 GZSL: seen=0.8424, unseen=0.2396, h=0.3731 ZSL: unseen accuracy=0.4219
[70/300]  Loss_D: -10.8383 Loss_G: 15.4379, Wasserstein_dist:13.8482, vae_loss_seen:279.2146 GZSL: seen=0.8413, unseen=0.2135, h=0.3406 ZSL: unseen accuracy=0.4115
[71/300]  Loss_D: -11.9328 Loss_G: 16.8412, Wasserstein_dist:15.5542, vae_loss_seen:293.7642 GZSL: seen=0.8107, unseen=0.2188, h=0.3445 ZSL: unseen accuracy=0.4062
[72/300]  Loss_D: -11.3542 Loss_G: 16.2572, Wasserstein_dist:14.4878, vae_loss_seen:279.7876 GZSL: seen=0.8393, unseen=0.2344, h=0.3664 ZSL: unseen accuracy=0.4167
[73/300]  Loss_D: -10.9589 Loss_G: 16.7481, Wasserstein_dist:13.8810, vae_loss_seen:289.0906 GZSL: seen=0.9306, unseen=0.1979, h=0.3264 ZSL: unseen accuracy=0.4323
[74/300]  Loss_D: -10.7782 Loss_G: 16.3770, Wasserstein_dist:14.6954, vae_loss_seen:276.7144 GZSL: seen=0.8730, unseen=0.2135, h=0.3431 ZSL: unseen accuracy=0.4271
[75/300]  Loss_D: -10.6070 Loss_G: 17.0307, Wasserstein_dist:13.4484, vae_loss_seen:278.4325 GZSL: seen=0.8407, unseen=0.2188, h=0.3472 ZSL: unseen accuracy=0.4271
[76/300]  Loss_D: -11.7724 Loss_G: 15.8132, Wasserstein_dist:15.6887, vae_loss_seen:290.1439 GZSL: seen=0.8750, unseen=0.2188, h=0.3500 ZSL: unseen accuracy=0.4323
[77/300]  Loss_D: -10.7403 Loss_G: 16.6058, Wasserstein_dist:14.0881, vae_loss_seen:275.6662 GZSL: seen=0.8790, unseen=0.2135, h=0.3436 ZSL: unseen accuracy=0.4271
[78/300]  Loss_D: -10.4727 Loss_G: 15.6430, Wasserstein_dist:13.2662, vae_loss_seen:276.4913 GZSL: seen=0.8393, unseen=0.2240, h=0.3536 ZSL: unseen accuracy=0.4271
[79/300]  Loss_D: -11.8042 Loss_G: 16.9604, Wasserstein_dist:15.7541, vae_loss_seen:274.4906 GZSL: seen=0.9008, unseen=0.2292, h=0.3654 ZSL: unseen accuracy=0.4323
[80/300]  Loss_D: -10.5783 Loss_G: 16.5420, Wasserstein_dist:13.9637, vae_loss_seen:284.0044 GZSL: seen=0.8552, unseen=0.2188, h=0.3484 ZSL: unseen accuracy=0.4323
[81/300]  Loss_D: -11.2878 Loss_G: 15.7392, Wasserstein_dist:14.2624, vae_loss_seen:282.6894 GZSL: seen=0.8313, unseen=0.2135, h=0.3398 ZSL: unseen accuracy=0.4115
[82/300]  Loss_D: -10.3568 Loss_G: 15.8794, Wasserstein_dist:13.2666, vae_loss_seen:274.5555 GZSL: seen=0.8611, unseen=0.2240, h=0.3555 ZSL: unseen accuracy=0.4323
[83/300]  Loss_D: -11.0389 Loss_G: 16.4042, Wasserstein_dist:14.4715, vae_loss_seen:278.6493 GZSL: seen=0.8810, unseen=0.1979, h=0.3232 ZSL: unseen accuracy=0.4219
[84/300]  Loss_D: -11.4115 Loss_G: 16.5707, Wasserstein_dist:15.5422, vae_loss_seen:291.9262 GZSL: seen=0.9048, unseen=0.2135, h=0.3455 ZSL: unseen accuracy=0.4323
[85/300]  Loss_D: -11.4511 Loss_G: 15.6342, Wasserstein_dist:14.5538, vae_loss_seen:281.1135 GZSL: seen=0.9187, unseen=0.2188, h=0.3534 ZSL: unseen accuracy=0.4323
[86/300]  Loss_D: -9.2854 Loss_G: 15.4185, Wasserstein_dist:12.3862, vae_loss_seen:277.0946 GZSL: seen=0.8333, unseen=0.2188, h=0.3465 ZSL: unseen accuracy=0.4271
[87/300]  Loss_D: -12.3018 Loss_G: 14.7335, Wasserstein_dist:15.4011, vae_loss_seen:272.4277 GZSL: seen=0.8770, unseen=0.2083, h=0.3367 ZSL: unseen accuracy=0.4219
