Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -9.9895 Loss_G: -0.0189, Wasserstein_dist:12.5167, vae_loss_seen:470.2081 GZSL: seen=0.9444, unseen=0.3490, h=0.5096 ZSL: unseen accuracy=0.9792
[1/300]  Loss_D: -5.6323 Loss_G: -5.2721, Wasserstein_dist:7.4259, vae_loss_seen:378.3975 GZSL: seen=0.8611, unseen=0.4062, h=0.5521 ZSL: unseen accuracy=0.9323
[2/300]  Loss_D: -3.6118 Loss_G: -8.1056, Wasserstein_dist:4.6915, vae_loss_seen:332.9629 GZSL: seen=0.8186, unseen=0.4792, h=0.6045 ZSL: unseen accuracy=0.9792
[3/300]  Loss_D: -2.4761 Loss_G: -8.4694, Wasserstein_dist:3.2863, vae_loss_seen:315.0672 GZSL: seen=0.8393, unseen=0.3802, h=0.5233 ZSL: unseen accuracy=0.9740
[4/300]  Loss_D: -2.1694 Loss_G: -8.3494, Wasserstein_dist:2.8923, vae_loss_seen:318.2112 GZSL: seen=0.6786, unseen=0.5000, h=0.5758 ZSL: unseen accuracy=0.9896
[5/300]  Loss_D: -2.5059 Loss_G: -8.3924, Wasserstein_dist:3.0645, vae_loss_seen:304.0878 GZSL: seen=0.8007, unseen=0.5729, h=0.6679 ZSL: unseen accuracy=0.8646
[6/300]  Loss_D: -2.6961 Loss_G: -7.1428, Wasserstein_dist:3.2629, vae_loss_seen:311.7247 GZSL: seen=0.8472, unseen=0.4688, h=0.6036 ZSL: unseen accuracy=0.9635
[7/300]  Loss_D: -2.4899 Loss_G: -8.3118, Wasserstein_dist:2.9821, vae_loss_seen:301.1541 GZSL: seen=0.8571, unseen=0.5260, h=0.6520 ZSL: unseen accuracy=0.9896
[8/300]  Loss_D: -2.5711 Loss_G: -5.3891, Wasserstein_dist:3.1432, vae_loss_seen:300.1069 GZSL: seen=0.8194, unseen=0.4427, h=0.5749 ZSL: unseen accuracy=0.8958
[9/300]  Loss_D: -2.4182 Loss_G: -3.1640, Wasserstein_dist:2.9370, vae_loss_seen:299.9423 GZSL: seen=0.8512, unseen=0.6094, h=0.7103 ZSL: unseen accuracy=0.8333
[10/300]  Loss_D: -2.5527 Loss_G: -3.1499, Wasserstein_dist:3.1630, vae_loss_seen:304.2164 GZSL: seen=0.7551, unseen=0.7188, h=0.7365 ZSL: unseen accuracy=0.9010
[11/300]  Loss_D: -2.6248 Loss_G: -0.8466, Wasserstein_dist:3.2576, vae_loss_seen:301.2863 GZSL: seen=0.8194, unseen=0.6510, h=0.7256 ZSL: unseen accuracy=0.8750
