Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -9.7695 Loss_G: 0.0182, Wasserstein_dist:12.4097, vae_loss_seen:467.5334 GZSL: seen=0.7937, unseen=0.4219, h=0.5509 ZSL: unseen accuracy=1.0000
[1/300]  Loss_D: -3.8850 Loss_G: -5.7816, Wasserstein_dist:5.0102, vae_loss_seen:315.7126 GZSL: seen=0.9008, unseen=0.3229, h=0.4754 ZSL: unseen accuracy=0.9167
[2/300]  Loss_D: -2.5613 Loss_G: -7.4487, Wasserstein_dist:3.5018, vae_loss_seen:262.1430 GZSL: seen=0.8770, unseen=0.3438, h=0.4939 ZSL: unseen accuracy=0.9635
[3/300]  Loss_D: -2.4788 Loss_G: -7.5259, Wasserstein_dist:3.0174, vae_loss_seen:248.2884 GZSL: seen=0.7829, unseen=0.3854, h=0.5165 ZSL: unseen accuracy=0.8646
[4/300]  Loss_D: -1.6082 Loss_G: -3.4342, Wasserstein_dist:1.9546, vae_loss_seen:293.8409 GZSL: seen=0.7222, unseen=0.4583, h=0.5608 ZSL: unseen accuracy=0.9896
[5/300]  Loss_D: -1.8728 Loss_G: -5.8715, Wasserstein_dist:2.0634, vae_loss_seen:257.3788 GZSL: seen=0.8115, unseen=0.5833, h=0.6788 ZSL: unseen accuracy=1.0000
[6/300]  Loss_D: -2.2593 Loss_G: -3.8959, Wasserstein_dist:2.5507, vae_loss_seen:286.7523 GZSL: seen=0.8631, unseen=0.5990, h=0.7072 ZSL: unseen accuracy=1.0000
[7/300]  Loss_D: -1.2835 Loss_G: -7.1182, Wasserstein_dist:1.3906, vae_loss_seen:241.5659 GZSL: seen=0.8642, unseen=0.4896, h=0.6251 ZSL: unseen accuracy=1.0000
[8/300]  Loss_D: -1.0400 Loss_G: -5.6175, Wasserstein_dist:1.1095, vae_loss_seen:251.7370 GZSL: seen=0.8532, unseen=0.6510, h=0.7385 ZSL: unseen accuracy=1.0000
[9/300]  Loss_D: -1.4818 Loss_G: -7.5217, Wasserstein_dist:1.6429, vae_loss_seen:233.0802 GZSL: seen=0.8214, unseen=0.6302, h=0.7132 ZSL: unseen accuracy=0.9271
[10/300]  Loss_D: -0.8139 Loss_G: -6.0522, Wasserstein_dist:0.8894, vae_loss_seen:249.8167 GZSL: seen=0.8571, unseen=0.6198, h=0.7194 ZSL: unseen accuracy=0.9323
[11/300]  Loss_D: -1.4932 Loss_G: -3.4472, Wasserstein_dist:1.6825, vae_loss_seen:272.6539 GZSL: seen=0.8730, unseen=0.5573, h=0.6803 ZSL: unseen accuracy=0.8854
[12/300]  Loss_D: -1.4040 Loss_G: -8.4438, Wasserstein_dist:1.4975, vae_loss_seen:223.7465 GZSL: seen=0.8036, unseen=0.8750, h=0.8378 ZSL: unseen accuracy=1.0000
[13/300]  Loss_D: -1.6284 Loss_G: -6.0241, Wasserstein_dist:1.7361, vae_loss_seen:244.0834 GZSL: seen=0.7837, unseen=0.6354, h=0.7018 ZSL: unseen accuracy=0.9844
[14/300]  Loss_D: -1.2254 Loss_G: -7.5040, Wasserstein_dist:1.3260, vae_loss_seen:226.6368 GZSL: seen=0.7599, unseen=0.7917, h=0.7755 ZSL: unseen accuracy=0.9115
[15/300]  Loss_D: -1.2782 Loss_G: 1.6357, Wasserstein_dist:1.4488, vae_loss_seen:316.4384 GZSL: seen=0.7557, unseen=0.8385, h=0.7950 ZSL: unseen accuracy=0.9479
[16/300]  Loss_D: -1.3398 Loss_G: -7.9155, Wasserstein_dist:1.5050, vae_loss_seen:218.2638 GZSL: seen=0.8512, unseen=0.6771, h=0.7542 ZSL: unseen accuracy=0.9948
[17/300]  Loss_D: -0.9749 Loss_G: -2.5643, Wasserstein_dist:1.1199, vae_loss_seen:274.6631 GZSL: seen=0.7968, unseen=0.8594, h=0.8269 ZSL: unseen accuracy=0.9896
[18/300]  Loss_D: -1.0654 Loss_G: -5.8564, Wasserstein_dist:1.3399, vae_loss_seen:234.5755 GZSL: seen=0.7551, unseen=0.8177, h=0.7852 ZSL: unseen accuracy=0.9740
