Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -10.2945 Loss_G: 0.3673, Wasserstein_dist:12.8926, vae_loss_seen:492.1152 GZSL: seen=0.7921, unseen=0.1667, h=0.2754 ZSL: unseen accuracy=0.3333
[1/300]  Loss_D: -4.8703 Loss_G: -5.3956, Wasserstein_dist:6.3429, vae_loss_seen:351.9823 GZSL: seen=0.8016, unseen=0.0208, h=0.0406 ZSL: unseen accuracy=0.3958
[2/300]  Loss_D: -1.6383 Loss_G: -5.1334, Wasserstein_dist:2.1649, vae_loss_seen:313.8365 GZSL: seen=0.7881, unseen=0.1667, h=0.2751 ZSL: unseen accuracy=0.4583
[3/300]  Loss_D: -0.9754 Loss_G: -3.8938, Wasserstein_dist:1.3597, vae_loss_seen:299.9027 GZSL: seen=0.8274, unseen=0.0260, h=0.0505 ZSL: unseen accuracy=0.3073
[4/300]  Loss_D: -1.1810 Loss_G: -4.8386, Wasserstein_dist:1.4722, vae_loss_seen:302.7870 GZSL: seen=0.8307, unseen=0.1667, h=0.2776 ZSL: unseen accuracy=0.5677
[5/300]  Loss_D: -1.2408 Loss_G: -3.6184, Wasserstein_dist:1.5310, vae_loss_seen:303.4079 GZSL: seen=0.8095, unseen=0.0521, h=0.0979 ZSL: unseen accuracy=0.5938
[6/300]  Loss_D: -1.3600 Loss_G: -1.4060, Wasserstein_dist:1.7422, vae_loss_seen:319.6719 GZSL: seen=0.7484, unseen=0.2969, h=0.4251 ZSL: unseen accuracy=0.3125
[7/300]  Loss_D: -1.6735 Loss_G: -0.2114, Wasserstein_dist:2.0161, vae_loss_seen:338.1073 GZSL: seen=0.7833, unseen=0.0833, h=0.1506 ZSL: unseen accuracy=0.3385
[8/300]  Loss_D: -1.9207 Loss_G: 1.5870, Wasserstein_dist:2.2974, vae_loss_seen:359.2601 GZSL: seen=0.8190, unseen=0.2448, h=0.3769 ZSL: unseen accuracy=0.4219
[9/300]  Loss_D: -1.7773 Loss_G: 3.6604, Wasserstein_dist:2.3244, vae_loss_seen:367.5799 GZSL: seen=0.8000, unseen=0.0885, h=0.1594 ZSL: unseen accuracy=0.5781
[10/300]  Loss_D: -1.8611 Loss_G: 4.7918, Wasserstein_dist:2.3566, vae_loss_seen:369.9216 GZSL: seen=0.7825, unseen=0.2031, h=0.3225 ZSL: unseen accuracy=0.2604
