Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -100.3601 Loss_G: 0.6932, Wasserstein_dist:125.7820, vae_loss_seen:474.1206 GZSL: seen=0.9127, unseen=0.2865, h=0.4361 ZSL: unseen accuracy=0.5312
[1/300]  Loss_D: -57.5920 Loss_G: -3.8885, Wasserstein_dist:75.2777, vae_loss_seen:385.6150 GZSL: seen=0.9167, unseen=0.3177, h=0.4719 ZSL: unseen accuracy=0.6458
[2/300]  Loss_D: -36.8718 Loss_G: -6.7959, Wasserstein_dist:47.7642, vae_loss_seen:339.2805 GZSL: seen=0.9365, unseen=0.3177, h=0.4745 ZSL: unseen accuracy=0.6719
[3/300]  Loss_D: -25.9535 Loss_G: -7.3823, Wasserstein_dist:34.0372, vae_loss_seen:320.0550 GZSL: seen=0.8988, unseen=0.3229, h=0.4751 ZSL: unseen accuracy=0.7396
[4/300]  Loss_D: -22.5093 Loss_G: -7.3169, Wasserstein_dist:30.0582, vae_loss_seen:323.2248 GZSL: seen=0.8710, unseen=0.3490, h=0.4983 ZSL: unseen accuracy=0.8281
[5/300]  Loss_D: -25.1102 Loss_G: -6.9999, Wasserstein_dist:31.2074, vae_loss_seen:310.0778 GZSL: seen=0.8313, unseen=0.3646, h=0.5069 ZSL: unseen accuracy=0.7604
[6/300]  Loss_D: -28.2586 Loss_G: -5.4580, Wasserstein_dist:34.3869, vae_loss_seen:318.3878 GZSL: seen=0.8869, unseen=0.4219, h=0.5718 ZSL: unseen accuracy=0.6562
[7/300]  Loss_D: -25.5399 Loss_G: -6.5862, Wasserstein_dist:31.2081, vae_loss_seen:308.4929 GZSL: seen=0.9087, unseen=0.2396, h=0.3792 ZSL: unseen accuracy=0.7188
[8/300]  Loss_D: -26.3940 Loss_G: -2.8038, Wasserstein_dist:33.1096, vae_loss_seen:308.5706 GZSL: seen=0.8107, unseen=0.3594, h=0.4980 ZSL: unseen accuracy=0.7656
[9/300]  Loss_D: -24.5243 Loss_G: 0.3996, Wasserstein_dist:30.4454, vae_loss_seen:309.8100 GZSL: seen=0.8452, unseen=0.3333, h=0.4781 ZSL: unseen accuracy=0.8177
[10/300]  Loss_D: -25.3252 Loss_G: 1.0562, Wasserstein_dist:33.1443, vae_loss_seen:315.2071 GZSL: seen=0.7679, unseen=0.4323, h=0.5532 ZSL: unseen accuracy=0.7396
