Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=1024, out_features=512, bias=True)
  (linear_log_var): Linear(in_features=1024, out_features=512, bias=True)
)
Generator(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -104.8297 Loss_G: -0.2865, Wasserstein_dist:134.3103, vae_loss_seen:462.3394 GZSL: seen=0.9147, unseen=0.1615, h=0.2745 ZSL: unseen accuracy=0.6146
[1/300]  Loss_D: -50.1506 Loss_G: -4.3806, Wasserstein_dist:65.0503, vae_loss_seen:360.2436 GZSL: seen=0.8730, unseen=0.3177, h=0.4659 ZSL: unseen accuracy=0.5365
[2/300]  Loss_D: -33.0987 Loss_G: -7.3353, Wasserstein_dist:42.7176, vae_loss_seen:318.4463 GZSL: seen=0.8611, unseen=0.3229, h=0.4697 ZSL: unseen accuracy=0.5104
[3/300]  Loss_D: -20.3376 Loss_G: -8.0376, Wasserstein_dist:26.4581, vae_loss_seen:305.5846 GZSL: seen=0.8492, unseen=0.2917, h=0.4342 ZSL: unseen accuracy=0.4792
[4/300]  Loss_D: -20.8742 Loss_G: -6.6713, Wasserstein_dist:28.5855, vae_loss_seen:313.5009 GZSL: seen=0.9127, unseen=0.2135, h=0.3461 ZSL: unseen accuracy=0.5052
[5/300]  Loss_D: -18.2512 Loss_G: -7.7631, Wasserstein_dist:23.3195, vae_loss_seen:307.7129 GZSL: seen=0.8988, unseen=0.2865, h=0.4345 ZSL: unseen accuracy=0.5000
[6/300]  Loss_D: -20.1925 Loss_G: -8.8005, Wasserstein_dist:24.5539, vae_loss_seen:291.5675 GZSL: seen=0.8849, unseen=0.2500, h=0.3899 ZSL: unseen accuracy=0.5885
[7/300]  Loss_D: -19.4627 Loss_G: -8.9653, Wasserstein_dist:24.5247, vae_loss_seen:293.8838 GZSL: seen=0.9206, unseen=0.2031, h=0.3328 ZSL: unseen accuracy=0.5000
[8/300]  Loss_D: -15.6006 Loss_G: -6.7898, Wasserstein_dist:18.9478, vae_loss_seen:291.4693 GZSL: seen=0.8583, unseen=0.3750, h=0.5219 ZSL: unseen accuracy=0.5833
[9/300]  Loss_D: -18.5100 Loss_G: -6.7972, Wasserstein_dist:24.4138, vae_loss_seen:308.1539 GZSL: seen=0.9147, unseen=0.2812, h=0.4302 ZSL: unseen accuracy=0.6094
[10/300]  Loss_D: -19.3107 Loss_G: -7.0255, Wasserstein_dist:25.7733, vae_loss_seen:299.6474 GZSL: seen=0.8980, unseen=0.3229, h=0.4750 ZSL: unseen accuracy=0.6250
[11/300]  Loss_D: -19.2646 Loss_G: -6.8879, Wasserstein_dist:24.9716, vae_loss_seen:285.8692 GZSL: seen=0.7500, unseen=0.3750, h=0.5000 ZSL: unseen accuracy=0.6927
[12/300]  Loss_D: -16.1823 Loss_G: -5.2996, Wasserstein_dist:21.5843, vae_loss_seen:293.4016 GZSL: seen=0.8710, unseen=0.3125, h=0.4600 ZSL: unseen accuracy=0.7031
[13/300]  Loss_D: -18.9938 Loss_G: -6.3011, Wasserstein_dist:25.2522, vae_loss_seen:292.5877 GZSL: seen=0.8671, unseen=0.3229, h=0.4706 ZSL: unseen accuracy=0.6146
[14/300]  Loss_D: -18.0365 Loss_G: -5.4848, Wasserstein_dist:22.7863, vae_loss_seen:289.4508 GZSL: seen=0.8552, unseen=0.4010, h=0.5460 ZSL: unseen accuracy=0.6250
[15/300]  Loss_D: -19.1366 Loss_G: -7.0671, Wasserstein_dist:25.0492, vae_loss_seen:287.2689 GZSL: seen=0.8750, unseen=0.3281, h=0.4773 ZSL: unseen accuracy=0.6458
[16/300]  Loss_D: -16.2124 Loss_G: -3.7551, Wasserstein_dist:20.8277, vae_loss_seen:291.5616 GZSL: seen=0.8730, unseen=0.4062, h=0.5545 ZSL: unseen accuracy=0.6562
[17/300]  Loss_D: -15.7661 Loss_G: -7.0160, Wasserstein_dist:21.8069, vae_loss_seen:289.0205 GZSL: seen=0.8968, unseen=0.3073, h=0.4577 ZSL: unseen accuracy=0.7760
[18/300]  Loss_D: -18.8882 Loss_G: -7.9435, Wasserstein_dist:24.9685, vae_loss_seen:278.9624 GZSL: seen=0.7782, unseen=0.3385, h=0.4718 ZSL: unseen accuracy=0.6719
[19/300]  Loss_D: -14.5780 Loss_G: -3.2622, Wasserstein_dist:20.9838, vae_loss_seen:289.3813 GZSL: seen=0.8810, unseen=0.4010, h=0.5512 ZSL: unseen accuracy=0.5625
[20/300]  Loss_D: -20.4860 Loss_G: -8.4219, Wasserstein_dist:26.8731, vae_loss_seen:292.5763 GZSL: seen=0.8294, unseen=0.4010, h=0.5407 ZSL: unseen accuracy=0.5938
[21/300]  Loss_D: -17.5925 Loss_G: -5.7104, Wasserstein_dist:23.5052, vae_loss_seen:279.9362 GZSL: seen=0.8393, unseen=0.3438, h=0.4877 ZSL: unseen accuracy=0.5729
[22/300]  Loss_D: -16.5759 Loss_G: -4.9942, Wasserstein_dist:21.2668, vae_loss_seen:279.8847 GZSL: seen=0.7059, unseen=0.4583, h=0.5558 ZSL: unseen accuracy=0.5781
[23/300]  Loss_D: -17.6112 Loss_G: -3.3625, Wasserstein_dist:22.0263, vae_loss_seen:289.6786 GZSL: seen=0.8889, unseen=0.2969, h=0.4451 ZSL: unseen accuracy=0.5781
[24/300]  Loss_D: -21.3957 Loss_G: -6.2960, Wasserstein_dist:26.5172, vae_loss_seen:270.4219 GZSL: seen=0.8980, unseen=0.3698, h=0.5239 ZSL: unseen accuracy=0.5625
[25/300]  Loss_D: -20.1928 Loss_G: -7.7963, Wasserstein_dist:25.4359, vae_loss_seen:283.4548 GZSL: seen=0.8433, unseen=0.4271, h=0.5670 ZSL: unseen accuracy=0.5573
[26/300]  Loss_D: -22.1022 Loss_G: -8.0702, Wasserstein_dist:27.4119, vae_loss_seen:279.6927 GZSL: seen=0.8552, unseen=0.3490, h=0.4957 ZSL: unseen accuracy=0.5365
[27/300]  Loss_D: -20.7116 Loss_G: -6.9823, Wasserstein_dist:26.5202, vae_loss_seen:271.3460 GZSL: seen=0.7877, unseen=0.4115, h=0.5406 ZSL: unseen accuracy=0.5521
[28/300]  Loss_D: -14.9692 Loss_G: -3.4915, Wasserstein_dist:19.4386, vae_loss_seen:285.2127 GZSL: seen=0.9147, unseen=0.2448, h=0.3862 ZSL: unseen accuracy=0.4375
[29/300]  Loss_D: -17.1410 Loss_G: -0.2547, Wasserstein_dist:21.7533, vae_loss_seen:272.6026 GZSL: seen=0.7103, unseen=0.4896, h=0.5796 ZSL: unseen accuracy=0.5625
[30/300]  Loss_D: -15.3223 Loss_G: -4.0446, Wasserstein_dist:18.2759, vae_loss_seen:275.4678 GZSL: seen=0.8492, unseen=0.3021, h=0.4456 ZSL: unseen accuracy=0.5417
[31/300]  Loss_D: -16.8880 Loss_G: -4.4005, Wasserstein_dist:21.1521, vae_loss_seen:281.5112 GZSL: seen=0.7758, unseen=0.3646, h=0.4960 ZSL: unseen accuracy=0.5521
