Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=1024, out_features=512, bias=True)
  (linear_log_var): Linear(in_features=1024, out_features=512, bias=True)
)
Generator(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -10.9875 Loss_G: 1.0819, Wasserstein_dist:13.9595, vae_loss_seen:486.2904 GZSL: seen=0.8988, unseen=0.1667, h=0.2812 ZSL: unseen accuracy=0.3385
[1/300]  Loss_D: -5.8954 Loss_G: -2.4453, Wasserstein_dist:7.9464, vae_loss_seen:363.7827 GZSL: seen=0.8948, unseen=0.2917, h=0.4399 ZSL: unseen accuracy=0.4792
[2/300]  Loss_D: -2.4616 Loss_G: -4.4301, Wasserstein_dist:3.1760, vae_loss_seen:294.3629 GZSL: seen=0.9028, unseen=0.3073, h=0.4585 ZSL: unseen accuracy=0.5104
[3/300]  Loss_D: -1.4570 Loss_G: -4.4702, Wasserstein_dist:1.8716, vae_loss_seen:273.4184 GZSL: seen=0.8810, unseen=0.2812, h=0.4264 ZSL: unseen accuracy=0.4844
[4/300]  Loss_D: -2.2487 Loss_G: -2.3900, Wasserstein_dist:2.8650, vae_loss_seen:306.8634 GZSL: seen=0.8948, unseen=0.2708, h=0.4158 ZSL: unseen accuracy=0.5000
[5/300]  Loss_D: -1.4951 Loss_G: -3.8442, Wasserstein_dist:1.6894, vae_loss_seen:283.5712 GZSL: seen=0.8543, unseen=0.2500, h=0.3868 ZSL: unseen accuracy=0.5208
[6/300]  Loss_D: -1.2351 Loss_G: -1.6493, Wasserstein_dist:1.4417, vae_loss_seen:289.5939 GZSL: seen=0.8829, unseen=0.3021, h=0.4502 ZSL: unseen accuracy=0.5000
[7/300]  Loss_D: -1.4395 Loss_G: -1.5612, Wasserstein_dist:1.6460, vae_loss_seen:294.8763 GZSL: seen=0.9028, unseen=0.2969, h=0.4468 ZSL: unseen accuracy=0.5521
[8/300]  Loss_D: -1.4457 Loss_G: -2.1512, Wasserstein_dist:1.6993, vae_loss_seen:284.0164 GZSL: seen=0.8968, unseen=0.3490, h=0.5024 ZSL: unseen accuracy=0.5312
[9/300]  Loss_D: -1.2413 Loss_G: -2.5730, Wasserstein_dist:1.4402, vae_loss_seen:296.5106 GZSL: seen=0.8869, unseen=0.2969, h=0.4448 ZSL: unseen accuracy=0.6094
[10/300]  Loss_D: -1.6039 Loss_G: -2.9095, Wasserstein_dist:1.9048, vae_loss_seen:283.8357 GZSL: seen=0.9206, unseen=0.3281, h=0.4838 ZSL: unseen accuracy=0.6094
[11/300]  Loss_D: -1.3117 Loss_G: -4.3521, Wasserstein_dist:1.5267, vae_loss_seen:254.6997 GZSL: seen=0.8900, unseen=0.3281, h=0.4795 ZSL: unseen accuracy=0.6354
[12/300]  Loss_D: -1.2472 Loss_G: -1.6786, Wasserstein_dist:1.5217, vae_loss_seen:285.9958 GZSL: seen=0.8929, unseen=0.3125, h=0.4630 ZSL: unseen accuracy=0.6198
[13/300]  Loss_D: -1.3962 Loss_G: -1.9022, Wasserstein_dist:1.7966, vae_loss_seen:284.1343 GZSL: seen=0.8988, unseen=0.3281, h=0.4807 ZSL: unseen accuracy=0.6667
