Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=1024, out_features=512, bias=True)
  (linear_log_var): Linear(in_features=1024, out_features=512, bias=True)
)
Generator(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -11.0293 Loss_G: 1.2039, Wasserstein_dist:13.8469, vae_loss_seen:477.8787 GZSL: seen=0.8948, unseen=0.2917, h=0.4399 ZSL: unseen accuracy=0.6458
[1/300]  Loss_D: -7.9243 Loss_G: -2.0588, Wasserstein_dist:10.4370, vae_loss_seen:407.3612 GZSL: seen=0.9167, unseen=0.3125, h=0.4661 ZSL: unseen accuracy=0.7031
[2/300]  Loss_D: -4.7327 Loss_G: -4.9100, Wasserstein_dist:6.4389, vae_loss_seen:347.6927 GZSL: seen=0.8929, unseen=0.3229, h=0.4743 ZSL: unseen accuracy=0.7240
[3/300]  Loss_D: -3.2022 Loss_G: -7.0120, Wasserstein_dist:4.0657, vae_loss_seen:318.2693 GZSL: seen=0.8810, unseen=0.3073, h=0.4556 ZSL: unseen accuracy=0.7188
[4/300]  Loss_D: -2.3567 Loss_G: -7.2503, Wasserstein_dist:2.9095, vae_loss_seen:316.6453 GZSL: seen=0.8889, unseen=0.2812, h=0.4273 ZSL: unseen accuracy=0.7604
[5/300]  Loss_D: -1.9065 Loss_G: -6.3922, Wasserstein_dist:2.3421, vae_loss_seen:312.7605 GZSL: seen=0.8968, unseen=0.3229, h=0.4749 ZSL: unseen accuracy=0.6875
[6/300]  Loss_D: -1.9074 Loss_G: -6.9372, Wasserstein_dist:2.2861, vae_loss_seen:295.7276 GZSL: seen=0.8155, unseen=0.4844, h=0.6078 ZSL: unseen accuracy=0.6823
[7/300]  Loss_D: -2.0344 Loss_G: -5.8023, Wasserstein_dist:2.5375, vae_loss_seen:301.6908 GZSL: seen=0.7837, unseen=0.4010, h=0.5306 ZSL: unseen accuracy=0.7344
[8/300]  Loss_D: -1.7756 Loss_G: -2.5339, Wasserstein_dist:2.2019, vae_loss_seen:300.4551 GZSL: seen=0.9325, unseen=0.3281, h=0.4854 ZSL: unseen accuracy=0.8854
[9/300]  Loss_D: -2.1093 Loss_G: -1.5422, Wasserstein_dist:2.6916, vae_loss_seen:316.9803 GZSL: seen=0.7440, unseen=0.3125, h=0.4401 ZSL: unseen accuracy=0.8854
[10/300]  Loss_D: -2.1929 Loss_G: 0.1990, Wasserstein_dist:2.7079, vae_loss_seen:310.2343 GZSL: seen=0.8115, unseen=0.4844, h=0.6067 ZSL: unseen accuracy=0.7969
[11/300]  Loss_D: -2.3719 Loss_G: 1.6072, Wasserstein_dist:2.9311, vae_loss_seen:297.1707 GZSL: seen=0.9325, unseen=0.3177, h=0.4739 ZSL: unseen accuracy=0.8073
[12/300]  Loss_D: -2.0675 Loss_G: 4.7316, Wasserstein_dist:2.6447, vae_loss_seen:306.4433 GZSL: seen=0.7302, unseen=0.3333, h=0.4577 ZSL: unseen accuracy=0.7031
[13/300]  Loss_D: -2.1877 Loss_G: 4.4681, Wasserstein_dist:2.7876, vae_loss_seen:306.2104 GZSL: seen=0.7897, unseen=0.5208, h=0.6277 ZSL: unseen accuracy=0.8177
[14/300]  Loss_D: -2.2960 Loss_G: 4.9936, Wasserstein_dist:2.7991, vae_loss_seen:305.0344 GZSL: seen=0.8571, unseen=0.3698, h=0.5167 ZSL: unseen accuracy=0.6406
[15/300]  Loss_D: -2.0886 Loss_G: 6.2390, Wasserstein_dist:2.6288, vae_loss_seen:304.1635 GZSL: seen=0.7409, unseen=0.5990, h=0.6624 ZSL: unseen accuracy=0.7448
[16/300]  Loss_D: -1.9870 Loss_G: 8.3884, Wasserstein_dist:2.5380, vae_loss_seen:307.9895 GZSL: seen=0.7138, unseen=0.5885, h=0.6451 ZSL: unseen accuracy=0.8281
[17/300]  Loss_D: -1.9291 Loss_G: 7.0566, Wasserstein_dist:2.5023, vae_loss_seen:305.8545 GZSL: seen=0.8135, unseen=0.7240, h=0.7661 ZSL: unseen accuracy=0.8802
[18/300]  Loss_D: -1.9462 Loss_G: 7.3120, Wasserstein_dist:2.4634, vae_loss_seen:298.4354 GZSL: seen=0.7718, unseen=0.6875, h=0.7272 ZSL: unseen accuracy=0.6979
[19/300]  Loss_D: -1.8941 Loss_G: 8.6573, Wasserstein_dist:2.4494, vae_loss_seen:303.7802 GZSL: seen=0.7877, unseen=0.4844, h=0.5999 ZSL: unseen accuracy=0.7604
[20/300]  Loss_D: -2.1824 Loss_G: 7.8817, Wasserstein_dist:2.7200, vae_loss_seen:311.6425 GZSL: seen=0.8353, unseen=0.5000, h=0.6256 ZSL: unseen accuracy=0.7552
