Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=1024, out_features=512, bias=True)
  (linear_log_var): Linear(in_features=1024, out_features=512, bias=True)
)
Generator(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=1536, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=512, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -10.5003 Loss_G: -0.3925, Wasserstein_dist:13.4772, vae_loss_seen:460.9671 GZSL: seen=0.9048, unseen=0.1771, h=0.2962 ZSL: unseen accuracy=0.8229
[1/300]  Loss_D: -5.0015 Loss_G: -4.7232, Wasserstein_dist:6.4508, vae_loss_seen:357.6941 GZSL: seen=0.9008, unseen=0.3073, h=0.4583 ZSL: unseen accuracy=0.6562
[2/300]  Loss_D: -3.1347 Loss_G: -7.8403, Wasserstein_dist:4.0389, vae_loss_seen:315.5592 GZSL: seen=0.8016, unseen=0.4427, h=0.5704 ZSL: unseen accuracy=0.5625
[3/300]  Loss_D: -2.0468 Loss_G: -8.8454, Wasserstein_dist:2.6940, vae_loss_seen:302.5722 GZSL: seen=0.8810, unseen=0.3177, h=0.4670 ZSL: unseen accuracy=0.6615
[4/300]  Loss_D: -2.0753 Loss_G: -7.3163, Wasserstein_dist:2.7796, vae_loss_seen:310.4752 GZSL: seen=0.8988, unseen=0.3125, h=0.4638 ZSL: unseen accuracy=0.8021
[5/300]  Loss_D: -1.7978 Loss_G: -8.1117, Wasserstein_dist:2.3115, vae_loss_seen:304.7785 GZSL: seen=0.8107, unseen=0.3281, h=0.4672 ZSL: unseen accuracy=0.6875
[6/300]  Loss_D: -1.8897 Loss_G: -9.0793, Wasserstein_dist:2.2814, vae_loss_seen:287.8907 GZSL: seen=0.8790, unseen=0.3333, h=0.4834 ZSL: unseen accuracy=0.7760
[7/300]  Loss_D: -1.8491 Loss_G: -10.3437, Wasserstein_dist:2.2548, vae_loss_seen:288.9732 GZSL: seen=0.8234, unseen=0.4479, h=0.5802 ZSL: unseen accuracy=0.7031
[8/300]  Loss_D: -1.3158 Loss_G: -8.3510, Wasserstein_dist:1.5885, vae_loss_seen:286.2609 GZSL: seen=0.8146, unseen=0.3542, h=0.4937 ZSL: unseen accuracy=0.7188
[9/300]  Loss_D: -1.7054 Loss_G: -9.7252, Wasserstein_dist:2.0999, vae_loss_seen:300.5208 GZSL: seen=0.8810, unseen=0.3646, h=0.5157 ZSL: unseen accuracy=0.7240
[10/300]  Loss_D: -1.6955 Loss_G: -9.4459, Wasserstein_dist:2.2476, vae_loss_seen:293.5979 GZSL: seen=0.8175, unseen=0.6146, h=0.7017 ZSL: unseen accuracy=0.8281
[11/300]  Loss_D: -1.9416 Loss_G: -10.5932, Wasserstein_dist:2.3970, vae_loss_seen:277.8266 GZSL: seen=0.8265, unseen=0.5052, h=0.6271 ZSL: unseen accuracy=0.8177
[12/300]  Loss_D: -1.3907 Loss_G: -8.1548, Wasserstein_dist:1.8377, vae_loss_seen:286.1304 GZSL: seen=0.8214, unseen=0.3646, h=0.5050 ZSL: unseen accuracy=0.7500
[13/300]  Loss_D: -1.9093 Loss_G: -9.3475, Wasserstein_dist:2.4208, vae_loss_seen:285.2100 GZSL: seen=0.7650, unseen=0.4010, h=0.5262 ZSL: unseen accuracy=0.8073
[14/300]  Loss_D: -1.7105 Loss_G: -8.8053, Wasserstein_dist:2.1249, vae_loss_seen:280.9529 GZSL: seen=0.8016, unseen=0.4167, h=0.5483 ZSL: unseen accuracy=0.6562
[15/300]  Loss_D: -1.8237 Loss_G: -10.3018, Wasserstein_dist:2.2960, vae_loss_seen:279.4596 GZSL: seen=0.8067, unseen=0.4688, h=0.5929 ZSL: unseen accuracy=0.7500
[16/300]  Loss_D: -1.5151 Loss_G: -6.1215, Wasserstein_dist:1.8946, vae_loss_seen:284.2429 GZSL: seen=0.7758, unseen=0.6458, h=0.7049 ZSL: unseen accuracy=0.8281
[17/300]  Loss_D: -1.8118 Loss_G: -11.1324, Wasserstein_dist:2.3780, vae_loss_seen:279.6082 GZSL: seen=0.8313, unseen=0.4948, h=0.6204 ZSL: unseen accuracy=0.8073
[18/300]  Loss_D: -1.7156 Loss_G: -10.0855, Wasserstein_dist:2.1482, vae_loss_seen:271.0215 GZSL: seen=0.7710, unseen=0.5781, h=0.6608 ZSL: unseen accuracy=0.7135
[19/300]  Loss_D: -1.5062 Loss_G: -4.8185, Wasserstein_dist:2.0010, vae_loss_seen:283.3408 GZSL: seen=0.7897, unseen=0.4792, h=0.5964 ZSL: unseen accuracy=0.8125
[20/300]  Loss_D: -1.9732 Loss_G: -10.7440, Wasserstein_dist:2.4547, vae_loss_seen:284.9270 GZSL: seen=0.8353, unseen=0.5156, h=0.6376 ZSL: unseen accuracy=0.8229
[21/300]  Loss_D: -1.5685 Loss_G: -8.3191, Wasserstein_dist:2.0242, vae_loss_seen:271.6559 GZSL: seen=0.7500, unseen=0.5365, h=0.6255 ZSL: unseen accuracy=0.7969
[22/300]  Loss_D: -1.4721 Loss_G: -6.7811, Wasserstein_dist:1.8501, vae_loss_seen:273.0251 GZSL: seen=0.8155, unseen=0.5469, h=0.6547 ZSL: unseen accuracy=0.8438
[23/300]  Loss_D: -1.6448 Loss_G: -4.6919, Wasserstein_dist:1.9700, vae_loss_seen:282.5996 GZSL: seen=0.8186, unseen=0.5208, h=0.6366 ZSL: unseen accuracy=0.8073
[24/300]  Loss_D: -1.3897 Loss_G: -4.3414, Wasserstein_dist:1.8136, vae_loss_seen:266.1988 GZSL: seen=0.7857, unseen=0.5885, h=0.6730 ZSL: unseen accuracy=0.8021
[25/300]  Loss_D: -1.6306 Loss_G: -8.4321, Wasserstein_dist:1.9794, vae_loss_seen:275.2899 GZSL: seen=0.7630, unseen=0.4115, h=0.5346 ZSL: unseen accuracy=0.8385
[26/300]  Loss_D: -1.6737 Loss_G: -7.6033, Wasserstein_dist:1.9782, vae_loss_seen:274.3896 GZSL: seen=0.8452, unseen=0.4688, h=0.6031 ZSL: unseen accuracy=0.8073
[27/300]  Loss_D: -1.4490 Loss_G: -7.7296, Wasserstein_dist:1.7505, vae_loss_seen:264.4832 GZSL: seen=0.7778, unseen=0.7396, h=0.7582 ZSL: unseen accuracy=0.8125
[28/300]  Loss_D: -0.9938 Loss_G: -1.7513, Wasserstein_dist:1.3494, vae_loss_seen:279.1577 GZSL: seen=0.7897, unseen=0.4531, h=0.5758 ZSL: unseen accuracy=0.7865
[29/300]  Loss_D: -1.2368 Loss_G: -1.5300, Wasserstein_dist:1.5517, vae_loss_seen:264.0609 GZSL: seen=0.7528, unseen=0.6146, h=0.6767 ZSL: unseen accuracy=0.8125
[30/300]  Loss_D: -1.2134 Loss_G: -4.1234, Wasserstein_dist:1.4605, vae_loss_seen:268.9196 GZSL: seen=0.7857, unseen=0.5052, h=0.6150 ZSL: unseen accuracy=0.7708
[31/300]  Loss_D: -1.3517 Loss_G: -3.7494, Wasserstein_dist:1.6879, vae_loss_seen:276.9110 GZSL: seen=0.8313, unseen=0.4531, h=0.5866 ZSL: unseen accuracy=0.8438
[32/300]  Loss_D: -1.0750 Loss_G: -3.0168, Wasserstein_dist:1.4137, vae_loss_seen:273.3702 GZSL: seen=0.7659, unseen=0.5156, h=0.6163 ZSL: unseen accuracy=0.8646
[33/300]  Loss_D: -1.5407 Loss_G: -7.4110, Wasserstein_dist:1.8840, vae_loss_seen:262.5670 GZSL: seen=0.8480, unseen=0.2760, h=0.4165 ZSL: unseen accuracy=0.8073
[34/300]  Loss_D: -1.1394 Loss_G: -0.5418, Wasserstein_dist:1.3671, vae_loss_seen:275.5674 GZSL: seen=0.7520, unseen=0.5260, h=0.6190 ZSL: unseen accuracy=0.7760
[35/300]  Loss_D: -1.0167 Loss_G: -4.1690, Wasserstein_dist:1.2922, vae_loss_seen:269.1162 GZSL: seen=0.7749, unseen=0.4427, h=0.5635 ZSL: unseen accuracy=0.8073
[36/300]  Loss_D: -1.0159 Loss_G: -2.6978, Wasserstein_dist:1.2874, vae_loss_seen:270.9008 GZSL: seen=0.8115, unseen=0.3542, h=0.4931 ZSL: unseen accuracy=0.8125
[37/300]  Loss_D: -0.9753 Loss_G: -4.1466, Wasserstein_dist:1.2615, vae_loss_seen:268.9808 GZSL: seen=0.8155, unseen=0.4479, h=0.5782 ZSL: unseen accuracy=0.8073
[38/300]  Loss_D: -1.0673 Loss_G: -2.5337, Wasserstein_dist:1.2799, vae_loss_seen:268.4126 GZSL: seen=0.7599, unseen=0.4583, h=0.5718 ZSL: unseen accuracy=0.8021
[39/300]  Loss_D: -0.9620 Loss_G: -1.2422, Wasserstein_dist:1.2260, vae_loss_seen:269.6518 GZSL: seen=0.7345, unseen=0.5990, h=0.6599 ZSL: unseen accuracy=0.7917
[40/300]  Loss_D: -1.1767 Loss_G: -3.2992, Wasserstein_dist:1.4839, vae_loss_seen:275.4496 GZSL: seen=0.8532, unseen=0.3646, h=0.5109 ZSL: unseen accuracy=0.7969
[41/300]  Loss_D: -1.1501 Loss_G: -2.0467, Wasserstein_dist:1.4559, vae_loss_seen:274.7619 GZSL: seen=0.8056, unseen=0.3958, h=0.5308 ZSL: unseen accuracy=0.7552
[42/300]  Loss_D: -0.9410 Loss_G: 0.1379, Wasserstein_dist:1.2245, vae_loss_seen:276.1844 GZSL: seen=0.8294, unseen=0.3594, h=0.5015 ZSL: unseen accuracy=0.7448
[43/300]  Loss_D: -0.8803 Loss_G: -3.2174, Wasserstein_dist:1.1142, vae_loss_seen:261.7566 GZSL: seen=0.8135, unseen=0.5052, h=0.6233 ZSL: unseen accuracy=0.7917
[44/300]  Loss_D: -0.8748 Loss_G: -2.0675, Wasserstein_dist:1.1334, vae_loss_seen:268.3880 GZSL: seen=0.7829, unseen=0.5677, h=0.6582 ZSL: unseen accuracy=0.7969
[45/300]  Loss_D: -0.8813 Loss_G: 0.7161, Wasserstein_dist:1.1593, vae_loss_seen:259.9804 GZSL: seen=0.8472, unseen=0.3802, h=0.5249 ZSL: unseen accuracy=0.8021
[46/300]  Loss_D: -1.0504 Loss_G: -1.4699, Wasserstein_dist:1.3079, vae_loss_seen:274.2812 GZSL: seen=0.7798, unseen=0.4271, h=0.5519 ZSL: unseen accuracy=0.8021
[47/300]  Loss_D: -0.9501 Loss_G: -1.1793, Wasserstein_dist:1.2697, vae_loss_seen:271.0898 GZSL: seen=0.7917, unseen=0.3958, h=0.5278 ZSL: unseen accuracy=0.7760
[48/300]  Loss_D: -1.0242 Loss_G: 0.5058, Wasserstein_dist:1.4068, vae_loss_seen:273.4524 GZSL: seen=0.8393, unseen=0.2969, h=0.4386 ZSL: unseen accuracy=0.7500
[49/300]  Loss_D: -1.0343 Loss_G: -0.7544, Wasserstein_dist:1.3386, vae_loss_seen:273.9194 GZSL: seen=0.8730, unseen=0.2656, h=0.4073 ZSL: unseen accuracy=0.8021
